song,artist,hip_hop_rnb
Oh No,Mos Def,1
Oh No,Mos Def and Pharoahe Monch featuring Nate Dogg,1
Old Town Road,Lil Nas X ,1
On & On,Erykah Badu,1
On Our Own,Bobby Brown,1
One Call Away,Chingy featuring J-Weav,1
One More Chance / Stay with Me,The Notorious B.I.G.,1
One More Try,George Michael,1
Only,Nicki Minaj,1
Only,"Nicki Minaj featuring Drake, Lil Wayne & Chris Brown",1
Ooo La La La,Teena Marie,1
Oops (Oh My),Tweet featuring Missy Elliott,1
Over,Drake,1
Overnight Celebrity,Twista,1
P.I.M.P.,50 Cent,1
Panda,Desiigner,1
Papers,Usher,1
Paradise,Sade,1
Party Like a Rockstar,Shop Boyz,1
Planes,Jeremih featuring J. Cole,1
Please Me,Cardi B,1
Poison,Bell Biv DeVoe,1
Pony,Ginuwine,1
Pop Goes the Weasel,3rd Bass,1
Pour It Up,Rihanna,1
Power of Love/Love Power,Luther Vandross,1
Power Trip,J. Cole featuring Miguel,1
Practice What You Preach,Barry White,1
Pretty Wings,Maxwell,1
Private Line,Gerald Levert,1
Promise,Ciara,1
Promise,Jagged Edge,1
Psycho,Post Malone,1
Pullin' Me Back,Chingy featuring Tyrese,1
Purple Pills,D12,1
Put On,Young Jeezy featuring Kanye West,1
Raise Up,Petey Pablo,1
Rap God,Eminem,1
Ready or Not,After 7,1
Real Love,Jody Watley,1
Real Love,Mary J. Blige,1
Real Love,Skyy,1
Remember (The First Time),Eric Gable,1
Remember the Time,Michael Jackson,1
Rhythm Nation,Janet Jackson,1
Right Above It,Lil Wayne,1
Right Here/Human Nature,SWV,1
Right Now,Al B. Sure!,1
Right Thurr,Chingy,1
Rise 'n' Shine,Kool Moe Dee,1
Rockstar,Post Malone,1
Romantic,Karyn White,1
Roses Are Red,The Mac Band,1
Round and Round,Jonell featuring Method Man,1
Roxanne,Arizona Zervas,1
Rub You the Right Way,Johnny Gill,1
Run It!,Chris Brown,1
Run This Town,Jay-Z featuring Rihanna and Kanye West,1
Runaway Love,Ludacris featuring Mary J. Blige,1
Running Back to You,Vanessa Williams,1
Sad!,XXXTentacion,1
Satisfy You,Puff Daddy featuring R. Kelly,1
Save the Best For Last,Vanessa Williams,1
Say Goodbye,Chris Brown,1
Say My Name,Destiny's Child,1
Say Something,Timbaland,1
Say Something,Timbaland featuring Drake,1
See You Again,Wiz Khalifa ,1
See You Again,Wiz Khalifa featuring Charlie Puth,1
Self-Destruction,Stop the Violence Movement,1
Sensitivity,Ralph Tresvant,1
Separated,Avant,1
Sex Therapy,Robin Thicke,1
Shake Ya Tailfeather,"Nelly, P. Diddy and Murphy Lee",1
Shawty,Plies featuring T-Pain,1
She's On the Left,Jeffrey Osborne,1
She Will,Lil Wayne featuring Drake,1
Shortie Like Mine,Bow Wow featuring Chris Brown and Johntá Austin,1
Shoulder Lean,Young Dro featuring T.I.,1
Show and Tell,Peabo Bryson,1
Shower Me With Your Love,Surface,1
Sicko Mode,Travis Scott,1
Single Ladies (Put a Ring on It),Beyoncé,1
Slow Dance (Hey Mr. DJ),R. Kelly and Public Announcement,1
Slow Down,Bobby Valentino,1
Slow Jamz,Twista featuring Kanye West and Jamie Foxx,1
Slow Motion,Juvenile featuring Soulja Slim,1
Smooth Operator,Big Daddy Kane,1
Snap Yo Fingers,Lil Jon featuring E-40 and Sean Paul of the YoungbloodZ,1
So Gone,Monica,1
So You Like What You See,Samuelle,1
Somebody for Me,Heavy D & the Boyz,1
Something in the Way (You Make Me Feel),Stephanie Mills,1
Soul Survivor,Young Jeezy featuring Akon,1
Souljas,Master P,1
Spend My Life with You,Eric Benet featuring Tamia,1
Spotlight,Jennifer Hudson,1
Spread My Wings,Troop,1
Stand Up,Ludacris featuring Shawnna,1
Start of a Romance,Skyy,1
Started from the Bottom,Drake,1
Stay,Jodeci,1
Step in the Name of Love,R. Kelly,1
Studio,Schoolboy Q featuring BJ the Chicago Kid,1
Stutter,Joe featuring Mystikal,1
Sucker for Pain,Lil Wayne,1
Suit & Tie,Justin Timberlake featuring Jay-Z,1
Summer Sixteen,Drake,1
Summertime,DJ Jazzy Jeff & The Fresh Prince,1
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,1
Superwoman,Karyn White,1
Sure Thing,Miguel,1
Sweet November,Troop,1
Take a Bow,Rihanna,1
Talk Dirty,Jason Derulo featuring 2 Chainz,1
Tell Me What You Want Me to Do,Tevin Campbell,1
Tender Kisses,Tracie Spencer,1
Tender Lover,Babyface,1
Tennessee,Arrested Development,1
Tha Crossroads,Bone Thugs N Harmony,1
Thank God I Found You,Mariah Carey featuring Joe,1
Thanks for My Child,Cheryl Pepsii Riley,1
That's the Way Love Goes,Janet Jackson,1
The Best Things in Life Are Free,Luther Vandross and Janet Jackson,1
The Blues,Tony! Toni! Toné!,1
The Boomin' System,LL Cool J,1
The Boy Is Mine,Brandy and Monica,1
The Chubbster,Chubb Rock,1
The D.O.C. & The Doctor,The D.O.C.,1
The First Night,Monica,1
The First Time,Surface,1
The Hills,The Weeknd,1
The Humpty Dance,Digital Underground,1
The Monster,Eminem,1
The Monster,Eminem featuring Rihanna,1
The Motto,Drake ,1
The Motto,Drake featuring Lil Wayne,1
The Power,Snap!,1
The Secret Garden (Sweet Seduction Suite),"Quincy Jones with Al B. Sure!, James Ingram, El DeBarge and Barry White",1
The Way You Love Me,Karyn White,1
The Way You Make Me Feel,Michael Jackson,1
The Way You Move,Outkast featuring Sleepy Brown,1
The Worst,Jhené Aiko,1
There Goes My Baby,Usher,1
Thieves in the Temple,Prince,1
This Is America,Childish Gambino,1
This Is How We Do It,Montell Jordan,1
This Is Why I'm Hot,Mims,1
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,1
Thrift Shop,Macklemore and Ryan Lewis ,1
Throw Sum Mo,Rae Sremmurd featuring Nicki Minaj and Young Thug,1
Timber,Pitbull,1
Time of Our Lives,Pitbull,1
Tipsy,J-Kwon,1
"Tomorrow (A Better You, A Better Me)",Quincy Jones featuring Tevin Campbell,1
Too Close,Next,1
Too Good,Drake,1
Trap Queen,Fetty Wap,1
Treat 'Em Right,Chubb Rock,1
Treat Them Like They Want to Be Treated,Father MC,1
Truffle Butter,Nicki Minaj featuring Drake and Lil Wayne,1
Truth Hurts,Lizzo,1
Tuesday,ILoveMakonnen featuring Drake,1
Tumblin' Down,Ziggy Marley and the Melody Makers,1
Turned Away,Chuckii Booker,1
Twisted,Keith Sweat,1
U Can't Touch This,MC Hammer,1
U Got It Bad,Usher,1
U Know What's Up,Donell Jones featuring Lisa Left Eye Lopes,1
U Remind Me,Usher,1
Uhh Ahh,Boyz II Men,1
Un-Thinkable (I'm Ready),Alicia Keys,1
Understanding,Xscape,1
Unforgettable,French Montana,1
Untouchable,Above the Law,1
Vision of Love,Mariah Carey,1
Watch Me (Whip/Nae Nae),Silentó,1
We're All in the Same Gang,The West Coast Rap All-Stars,1
We Belong Together,Mariah Carey,1
We Can't Be Friends,Deborah Cox featuring R.L.,1
We Fly High,Jim Jones,1
Weak,SWV,1
What's It Gonna Be?!,Busta Rhymes featuring Janet,1
What Would You Do?,City High,1
What You Know,T.I.,1
Whatever You Like,T.I.,1
Whatever You Want,Tony! Toni! Toné!,1
When I See U,Fantasia,1
Where Do We Go from Here,Stacy Lattisaw with Johnny Gill,1
Where the Party At,Jagged Edge with Nelly,1
Whistle While You Twurk,Ying Yang Twins,1
Who Can I Run To,Xscape,1
Whoomp! (There It Is),Tag Team,1
Wifey,Next,1
Wiggle,Jason Derulo featuring Snoop Dogg,1
Wishing Well,Terence Trent D'Arby,1
Wobble Wobble,504 Boyz,1
Work It,Missy Elliott,1
Work It,Missy Misdemeanor Elliott,1
Wow,Post Malone,1
Wrap My Body Tight,Johnny Gill,1
Written All Over Your Face,The Rude Boys,1
Yeah!,Usher featuring Lil Jon and Ludacris,1
You,Lloyd featuring Lil Wayne,1
You're Makin' Me High / Let It Flow,Toni Braxton,1
You're the One,SWV,1
You Are My Everything,Surface,1
You Are Not Alone,Michael Jackson,1
You Can't Deny It,Lisa Stansfield,1
You Can't Play with My Yo-Yo,Yo-Yo,1
You Don't Have to Worry,En Vogue,1
You Don't Know My Name,Alicia Keys,1
You Make Me Wanna...,Usher,1
You Remind Me,Mary J. Blige,1
You Remind Me of Something,R. Kelly,1
You Will Know,Stevie Wonder,1
Your Love,Nicki Minaj,1
Zeze,Kodak Black,1
