song,artist,rel_date,lyrics
The Way You Love Me,Karyn White,NA,"Hey, baby You're driving me crazy With that special loving feeling that you give to me And I'm so proud, you want me to be your lady Now I know how it feels to live a fantasy I used to dream about love And sure that's how it was But I don't have to dream no more 'Cause I, I got more than I can stand I found me a lover in another man I got you, baby, that's all I was waiting for And I love the way you love me I place no one above the one true love And I love the way you love me And baby no matter what I love the, I love the way you love (Oh oh...oh oh...oh oh) Oh, baby, baby, baby I might as well face it I've fallen in too deep You have control of me Without a doubt It has to be the greatest You're every bit the man I had hoped you'd be I used to dream about love And sure that's how it was But I don't have to dream no more, oh no 'Cause when I think about your loving, that I good thing I get excited from the feeling that it's giving to me So won't you keep it coming, baby? 'Cause I love the joy you bring I, oh, oh, I love And I love the way you love me (I love it, love it, love it) I place no one above (Yeah) The one true love (Yeah) And I love the way you love me And baby no matter what I love the, I love the way you love (Oh oh...oh oh...oh oh) I love the way you love (Oh, oh) (Oh, oh) I got a love (Oh, oh) So don't you stop I love the way... One: For all the special love Two: A sensitive and tender touch Three: Because you please You bring out the best in me 'Cause when I think about your loving, that I got a good thing I get excited from the feeling that it's giving to me So won't you keep it coming, baby 'Cause I love the joy you bring I, oh, oh, I love (Oh oh...oh oh...oh oh) I love the way you love (Oh oh...oh oh...oh oh) I love the way And I love the way you love me (I love it, love it, love it) I place no one above (Yeah) The one true love (Yeah) And I love the way you love me And baby no matter what I love the, I love the way you love Oh, baby, keep it coming, uh Oh, baby, keep it coming, uh Oh, baby, keep it coming, uh One: For all the special love Two: A sensitive and tender touch Three: Because you please You bring out the best in me 'Cause when I think about your loving, that I got a good thing I get excited from the feeling that it's giving to me So won't you keep it coming, baby 'Cause I love the joy you bring I, oh, oh, I love The way you love me I place no one above, the one true love And I love the way you love me And baby no matter what I love the, I love the way you love (Oh oh) You love me all over (Oh, oh) You love me all over (Oh, oh) I love the way you love (Oh, oh) You love me all over (Oh, oh) You love me all over (Oh, oh) I love the way And I love The way you love me (I love it) I place no one above, the one true love And I love..."
Any Love,Luther Vandross,NA,"I speak to myself sometimes And I say ""Oh my"" ""In a lot of ways you're a lucky guy"", and oh ""Now all you need is a chance to try any love"" And in my heart There's a need to shout Dying, screaming, crying and ""let me out"", hey Are all those feelings that I want to touch Any love? What a world for the lonely kind Sometimes I feel I'm gonna lose my mind (My mind) Can anybody tell me just where to find Any love, any love? And oh Everyone needs a love, no doubt Any love, any love, and oh Everybody feels alone without Any love, any love And I know there's a love waiting To enter my life, enter my life, yeah Every day as I live I try to think positive, and hey I pray for someone good to give any love Ooh, love is sweet and so divine And I can't wait for my love light to shine (To shine) Can anybody tell me where I can find Any love, any love? And oh Everyone needs a love, no doubt Any love, any love Everybody feels alone without Any love (Any love) Any love (Ooh-hoo, yes-yes) I know there's someone waiting for me To enter my life, come into my life Suddenly I'm up in clear blue skies Lonely tears start to fill my eyes I can weep, but I refuse to cry I've got to keep holding on I've got to be very strong To keep holding on Everyone needs a love, no doubt Any love, any love (Any love) Everybody feels alone without Any love (Any love) Any love (Ooh-hoo, yes-yes) And I know I know, I know, I She'll come into my life (Where is the love, where is the love?) Into my life, ooh (Where is the love, where is the love?) Everyone needs a love no doubt Any love, any love, ooh Everybody feels alone without"
Giving You the Best That I Got,Anita  Baker,NA,"Ain't there something I can give you? In exchange for everything you give to me Read my mind And make me feel just fine When I think my peace of mind is out of reach The scales are sometimes unbalanced And you bear the weight of all that has to be I hope you see that you can lean on me And together We can calm a stormy sea We love so strong and so unselfishly And I tell you now that I made a vow I'm giving you the best that I got, baby Yes, I tell you now That I made a vow I'm giving you the best that I got, honey Everybody's got opinions 'Bout the way they think our story's gonna end Some folks feel it's just a superficial thrill Everybody's gonna have to think again We love so strong and so unselfishly They don't bother me so I'm gonna keep on Giving you the best that I got, baby They don't bother me Said I'm gonna keep on Giving you the best that I got Listen, baby Somebody understands me Somebody gave his heart to me I stumbled my whole life long Always on my own Now I'm home My weary mind is rested And I feel as if my home is in your arms Fears are all gone I like the sound of your song And I think I want to sing it forever We love so strong and so unselfishly And I made a vow so I tell you now I'm giving you the best that I got Listen, baby I bet everything on my wedding ring I'm...giving you the best that I got Giving it to you, baby Giving you the best that I got Giving you the best that I got Giving you the best that I got Giving you the best that I got"
Thanks for My Child,Cheryl Pepsii Riley,NA,NA
Hey Lover,Freddie Jackson,NA,"Hey, lover There is something that's been on my mind And I need to talk it over with you So tonight Just let me take my time This precious love that we share is More than just a wonderful dream You fill my life with such a meaning Ooh, lady You're my everything Ooh, girl Your love is so strong There's no way that this can go wrong Tonight I stop loving me Cause I need you so much, girl to keep giving me love Hey, lover (Hey, lover) Ooh, lover Hey, lover My lover Hey, lover Ooh, lover Hey, lover Hey, lover You hold the very key to my heart Can never leave the fire in me I knew you were the one from the start Your love is special to me I'll never, ever stop loving you I dream about your very touch Girl, your love makes me the best I can be Girl, you know I love you so Got to let the whole world know Uh, huh That you're my shining star And you widen up my life and make my world come alive Hey, lover (Hey, lover) Ooh, lover Hey, lover My lover Hey, lover Ooh, lover Hey, lover Ooh, girl Well, your love is so strong Uh, huh There's no way it could go wrong Don't ever stop loving me, no Cause I need you so much, girl To get deep in my love Hey, lover Ooh, lover Hey, lover Whoa, lover Hey, lover Sweet lover Hey, lover Your love's so strong It can't be wrong Give it to me one more time, lover Hey lover It feels so good I knew it would Loving, baby Your loving, girl Lover Hey, lover Lover"
Dial My Heart,The Boys,NA,NA
Everything I Miss at Home,Cherrelle,NA,"Oh, me I never meant for this to happen (Ooh) But if it's wrong, I just feel so right You give me attention You're someone who understands my needs All rare, but sensitive Everything I miss at home You know how to hold me And do all the things I want to feel Inside of each tender kiss I get everything I miss at home I was just out on the town, in search of some fun I was looking for love Then you came along and shared with me All the things I miss at home You give me attention (Mmm) You're someone who understands my needs All rare, but sensitive (Ooh) Everything I miss at home You know how to hold me (Ooh, hold me) And do all the things I want to feel (Feel) Inside of each tender kiss (Oh) I get everything I miss at home Oh yes, I do love someone But I can't pretend to be the happy one (The happy one) And you're taking for granted I was lonely (So lonely) (I'm not meant to be lonely) But you were there for me You give me attention You're someone who understands my needs (Girl, I understand your needs) All rare, but sensitive (Oh yeah, yeah) Everything I miss at home (Oh, baby) You know how to hold me (Hold, I know how to hold you, baby) And do all the things I want to feel (I wanna feel you, girl) Inside of each tender kiss (Oh) I get everything I miss at home (Oh) Home is where the heart is, baby (Things I miss at home) And I'm at home Home is where you let your feelings show (Things I miss at home) Everything that I know 'Til I met you, I felt all alone (Things I miss at) Now you've given me everything I miss at home You're at home, baby (You give me attention) (Things I miss at home) And you don't have to go nowhere, girl When you hold me tight (Things I miss at home) You're so close to me, oh, you're right You're giving me everything I miss at home"
Tumblin' Down,Ziggy Marley and the Melody Makers,NA,"Here comes the eagle Here comes the bear And they're fighting to control The lion dominion But the load gonna come tumblin' down But the load gonna come tumblin' down But the load gonna come tumblin' down But the load gonna come tumblin' down Here comes synthetic food And their big time money And they want to control Our body and soul But the load gonna come tumblin' down But the load gonna come tumblin' down But the load gonna come tumblin' down But the load gonna come tumblin' down Here comes the maker To crush the oppressor Well I bet you didn't know It was mind over matter But the load gonna come tumblin' down But the load gonna come tumblin' down But the load gonna come tumblin' down But the load gonna come tumblin' down Here comes the eagle Here comes the bear And they're fighting to control The lion dominion But the load gonna come tumblin' down But the load gonna come tumblin' down (Jah, Jah know) But the load gonna come tumblin' down (Jah, Jah know) But the load gonna come tumblin' down But the load gonna come tumblin' down But the load gonna come tumblin' down But the load gonna come tumblin' down But the load gonna come tumblin' down"
Empire State of Mind,Jay-Z,2009-11-21,NA
BedRock,Young Money,2010-01-23,"I-I-I-I can make your bed rock (Young Money) I-I-I-I can make your bed rock, girl (Kane is in the building, nigga) I-I-I-I can make your bed rock I-I-I-I can make your bed rock Uh, she got that good-good, she Michael Jackson bad I'm attracted to her, or her attractive ass And now we murderers, because we kill time I knock her lights out and she still shine I hate to see her go but I love to watch her leave But I keep her running back and forth; soccer team Cold as a winter's day, hot as a summer's eve Young Money thieves steal your love and leave I like the way you walking if you walking my way I'm that Red Bull, now let's fly away Let's buy a place, with all kind of space I'll let you be the judge, and-and-and I'm the case I'm Gudda Gudda, I put her under I see me with her, no Stevie Wonder She don't ever wonder, 'cause she know she bad And I got her, nigga: grocery bag Ooh baby, I be stuck to you like glue, baby Wanna spend it all on you, baby My room is the G-spot Call me Mr. Flintstone, I can make your bed rock (Ooh) I-I-I-I can make your bed rock (Ooh) I-I-I-I can make your bed rock, girl (Ooh) I-I-I-I can make your bed rock (Ooh) I-I-I-I can make your bed rock (Ayy!) Okay, I get it, let me think, I guess it's my turn Maybe it's time to put this pussy on your sideburns He say I'm bad, he prob'ly right He pressing me like button-downs on a Friday night I'm so pretty like, be on my pedal bike Be on my low starch, be on my egg whites He say, ""Nicki don't stop, you the bestest"" And I'd just be coming off the top, asbestos I love your sushi roll, hotter than wasabi I race for your love, ""Shake'n Bake"" Ricky Bobby I'm at the W, but I can't meet you in the lobby Girl, I gotta watch my back, 'cause I'm not just anybody I seen em stand in line just to get beside her I let her see the Aston and let the rest surprise her That's when we disappear, you need GPS to find her Oh, that was your girl? I thought I recognized her Ooh baby, I be stuck to you like glue, baby Wanna spend it all on you, baby My room is the G-spot Call me Mr. Flintstone, I can make your bed rock (Ooh) I-I-I-I can make your bed rock (Ooh) I-I-I-I can make your bed rock, girl (Ooh) I-I-I-I can make your bed rock (Ooh) I-I-I-I can make your bed rock (Ayy!) She like tanning, I like staying in She like romance and I like rolling with friends She said I'm caged in, I think her conscience is She's watching that Oxygen, I'm watching ESPN But when that show ends, she all over my skin, lotion Slow-mo motions, rollercoastin' Like back, forth, hold it She poses like it's for posters and I poke like I'm suppose to Take this photo if you for me, she said: ""Don't you ever show this!"" I'm too loyal and too focused To be losing and be hopeless When I spoke this, she rejoiced it, said ""Your words get me open"" So I closed it, where your clothes is? I'm only loving for the moment She ain't got a man, but she's not alone Miss Independent, yeah, she got her own Hey gorgeous, um, I mean flawless, well That's what you are, how I see it is how I call it, yeah Look-look at how she walk, m-hmm, she know she bad Do-do your thang baby, I ain't even mad And I ain’t leavin' fast, I'ma stay awhile Hold your head, Chris, I-I'ma take it down! Ooh baby, I be stuck to you like glue, baby Wanna spend it all on you, baby My room is the G-spot Call me Mr. Flintstone, I can make your bed rock (Young Money, Yea , Yea) (Ooh) I-I-I-I can make your bed rock (Ooh) I-I-I-I can make your bed rock, girl (Gudda Gudda, T-Streets, Mack Maine, J Millz) (Ooh) I-I-I-I can make your bed rock (Ooh) I-I-I-I can make your bed rock (Ayy!) (Tyga Tyga) Ooh baby, I be stuck to you like glue, baby (Drizzy Drake, Nicki Minaj) Wanna spend it all on you, baby (Hey Chanel, Lil Twist, Lil Chuckie, and Young Lloyd, AYEE!) My room is the G-spot Call me Mr. Flintstone, I can make your bed rock (Ooh) I-I-I-I can make your bed rock (We Young Money) (Ooh) I-I-I-I can make your bed rock, girl (Ooh) I-I-I-I can make your bed rock (Ooh) I-I-I-I can make your bed rock (Ayy!)"
Say Something,Timbaland,2010-03-27,"This shit was all I knew, you and me only I did it all for you, still you were lonely We could've worked it out, uh, but I guess things change It's funny how someone else's success brings pain When you're no longer involved, that person has it all And you just stuck standin' there but I'm gon' need you to say something, baby Say-say something, baby Say something, babe, say something I'm gon' need you to say something, baby I'm gon' need you to say something, baby, ohh-whoa Yeah, it really sucks, but ever since I’ve been long gone I traded in my señorita for a microphone I hate the way you fell apart, girl, it's sad to see Your life is good, but me and you, we a catastrophe If I was unsuccessful, would you be satisfied? I need a paramedic girl, I’m feeling paralyzed If I could choose, you will always be a friend to me The more money I made you acting like my enemy, it's crazy I can’t help it if you feel ashamed Thought the pressure would turn you into my diamond babe How can something so familiar be so strange Closest friends get estranged when the status change, ah Is it my mistake, thinking that where I am and where you at? And my homeboy Larry Live is the only one that had my back You were the perfect pair and now it seems that we don’t match Is it the money, want me to give it back? This shit was all I knew, you and me only I did it all for you, still you were lonely We could've worked it out, uh, but I guess things change It's funny how someone else's success brings pain When you're no longer involved, that person has it all And you just stuck standin' there but I'm gon' need you to say something, baby Say-say something, baby Say something, babe, say something I'm gon' need you to say something, baby I'm gon' need you to say something, baby, ohh-whoa Uh! I am the topic of conversation, this is celebration Let's toast to the fact that I've moved out my mama's basement To a condo downtown, 'cause it's all about location I sit and drink wine and watch Californication, to life You shoulda been here to kick it with me We could have split this whole thing up 50/50 But now I'm at the 40/40 getting bitches tipsy Killing shit, the ever-so talented Mr. Ripley How I go from being the man that you argue with To me and Dwayne Carter putting out the hardest shit I should wanna go back to the one I started with But I'm addicted to this life, it's gon' be hard to quit Yeah, just ask me how things are coming along You could tell me that you've never heard none of my songs Long as you end up saying one day you plan to listen 'Cause what's a star when it's most important fan is missing? This shit was all I knew, you and me only I did it all for you, still you were lonely We could've worked it out, uh, but I guess things change It's funny how someone else's success brings pain When you're no longer involved, that person has it all And you just stuck standin' there but I'm gon' need you to say something, baby Say-say something, baby Say something, babe, say something I'm gon' need you to say something, baby I'm gon' need you to say something, baby, ohh-whoa"
Nothin' on You,B.o.B ,2010-04-24,NA
Over,Drake,2010-06-12,"Uh, uh Young Money Yeah, yeah, yeah I know way too many people here right now That I didn't know last year—who the fuck are y'all? I swear it feels like the last few nights We've been everywhere and back But I just can't remember it all What am I doing? What am I doing? Oh yeah, that's right—I'm doing me, I'm doing me I'm living life right now, man And this what I'ma do 'til it's over, 'til it's over But it's far from over Alright, bottles on me, long as someone drink it Never drop the ball, fuck are y'all thinking? Making sure the Young Money ship is never sinking About to set it off in this bitch, Jada Pinkett I shouldn't have drove, tell me how I'm getting home You too fine to be laying down in bed alone I could teach you how to speak my language, Rosetta Stone I swear this life is like the sweetest thing I've ever known About to go thriller, Mike Jackson on these niggas All I need's a fucking red jacket with some zippers Super good smidoke, a package of the Swisher's I did it overnight, it couldn't happen any quicker ""Y'all know them? Well, fuck it, me either"" But point the biggest skeptic out, I'll make him a believer It wouldn't be the first time I done it, throwing hundreds When I should be throwing ones, bitch, I run it I know way too many people here right now That I didn't know last year—who the fuck are y'all? I swear it feels like the last few nights We've been everywhere and back But I just can't remember it all What am I doing? What am I doing? Oh yeah, that's right—I'm doing me, I'm doing me I'm living life right now, man And this what I'ma do 'til it's over, 'til it's over But it's far from over Uh, one thing 'bout music: when it hits, you feel no pain And I swear I got this shit that make these bitches go insane So they tell me that they love me, I know better than that, it's just game It's just what comes with the fame, and I'm ready for that, I'm just saying But I really can't complain, everything is kosher Two thumbs up, Ebert and Roeper I really can't see the end getting any closer But I'll probably still be the man when everything is over So I'm riding through the city with my high beams on Can you see me? Can you see me? Get your Visine on Y'all just do not fit the picture: turn your widescreen on If you thinking I'ma quit before I die, dream on Man, they treat me like a legend, am I really this cold? I'm really too young to be feeling this old It's about time you admit it, who you kidding? Man, nobody's ever done it like I did it, uh I know way too many people here right now That I didn't know last year—who the fuck are y'all? I swear it feels like the last few nights We've been everywhere and back But I just can't remember it all What am I doing? What am I doing? Oh yeah, that's right—I'm doing me, I'm doing me I'm living life right now, man And this what I'ma do 'til it's over, 'til it's over But it's far from over Yeah, that's right—I'm doing me, I'm doing me I'm living life right now, man And this what I'ma do 'til it's over, 'til it's over But it's far from over"
Your Love,Nicki Minaj,2010-07-10,"Shorty, I'ma only tell you this once, you the illest (Ba, ba-da, da, doh) And for your loving, I'ma die hard like Bruce Willis (Ba, ba-da, da, doh) You got spark, you, you got spunk You, you got something all the girls want You're like a candy store (Ah) and I'm a toddler (Ah) You got me wanting more and m-m-more of Your love, your love (Yeah) Your love, your love (Yeah) Your love, your love (Yeah) Your love, your love (Yeah) Your love, your love Your love, your love Your love, your love (Uh) Your love, your love (Uh, yo) He the type to pop tags and be cockin' the brim Might breeze through The Ave, might stop at the gym And he keep a do-rag, keep the wave on swim W-w-waves on swim so they hate on him Anyway, I think I met him sometime before In a different life or where I record I mean he was Adam, I think I was Eve But my vision ends with the apple on the tree ""S"" on my chest 'cause I'm ready to save him Ready to get buck on anybody that plays him And I think I love him, I love him just like I raised him When he call me ""mama, lil' mama,"" I call him ""baby"" Shorty, I'ma only tell you this once, you the illest (Ba, ba-da, da, doh) And for your loving, I'ma die hard like Bruce Willis (Ba, ba-da, da, doh) You got spark, you, you got spunk You, you got something all the girls want You're like a candy store (Ah) and I'm a toddler (Ah) You got me wanting more and m-m-more of Your love, your love (Yeah) Your love, your love (Yeah) Your love, your love (Yeah) Your love, your love (Yeah) Your love, your love Your love, your love Your love, your love (Mmhmm) Your love, your love (Yo, yo) He the type to keep a couple hundred grand in a rubber band Just left Money Gram in the lemon Lamb' Hot damn, make me scream like Summer Jam I mean that nigga must be from the motherland Anyway, I think I met him in the sky When I was a Geisha, he was a Samurai Somehow, I understood him when he spoke Thai Never spoke lies and he never broke fly ""S"" on my chest, let me get my cape on He's so thugged out, Ghostface and Raekwon Convict just like Akon 'Cause you know the snitches be putting the jake on Shorty, I'ma only tell you this once, you the illest (Ba, ba-da, da, doh) And for your loving, I'ma die hard like Bruce Willis (Ba, ba-da, da, doh) You got spark, you, you got spunk You, you got something all the girls want You're like a candy store (Ah) and I'm a toddler (Ah) You got me wanting more and m-m-more of Your love, your love (Yeah) Your love, your love (Yeah) Your love, your love (Yeah) Your love, your love (Yeah) Your love, your love Your love, your love Your love, your love Your love, your love Find me in the dark I'll be in the stars Find me in your heart I'm in need of your love Your love, your love Your love Baby, you're the illest Your love Your love"
Love the Way You Lie,Eminem,2010-09-04,"Just gonna stand there and watch me burn? Well, that's all right because I like the way it hurts Just gonna stand there and hear me cry? Well, that's all right because I love the way you lie I love the way you lie I can't tell you what it really is, I can only tell you what it feels like And right now, there's a steel knife in my windpipe I can't breathe, but I still fight while I can fight As long as the wrong feels right, it's like I'm in flight High off her love, drunk from her hate It's like I'm huffin' paint and I love her, the more I suffer, I suffocate And right before I'm about to drown, she resuscitates me She fuckin' hates me, and I love it — ""Wait! Where you going?"" — ""I'm leaving you!"" — ""No, you ain't! Come back!"" — We're runnin' right back, here we go again It's so insane, 'cause when it's goin' good, it's goin' great I'm Superman with the wind at his back, she's Lois Lane But when it's bad, it's awful, I feel so ashamed I snapped, ""Who's that dude?"", I don't even know his name I laid hands on her, I'll never stoop so low again I guess I don't know my own strength Just gonna stand there and watch me burn? Well, that's all right because I like the way it hurts Just gonna stand there and hear me cry? Well, that's all right because I love the way you lie I love the way you lie I love the way you lie You ever love somebody so much you can barely breathe when you're with 'em? You meet, and neither one of you even know what hit 'em Got that warm fuzzy feelin', yeah, them chills, used to get 'em Now you're gettin' fuckin' sick of lookin' at 'em? You swore you'd never hit 'em, never do nothin' to hurt 'em Now you're in each other's face Spewin' venom in your words when you spit 'em You push, pull each other's hair, scratch, claw, bit 'em Throw 'em down, pin 'em So lost in the moments when you're in 'em It's the rage that took over, it controls you both So they say you're best to go your separate ways Guess that they don't know ya 'Cause today, that was yesterday, yesterday is over It's a different day, sound like broken records playin' over But you promised her, next time you'll show restraint You don't get another chance, life is no Nintendo game But you lied again Now you get to watch her leave out the window Guess that's why they call it window pane Just gonna stand there and watch me burn? Well, that's all right because I like the way it hurts Just gonna stand there and hear me cry? Well, that's all right because I love the way you lie I love the way you lie I love the way you lie Now, I know we said things, did things that we didn't mean Then we fall back into the same patterns, same routine But your temper's just as bad as mine is, you're the same as me When it comes to love you're just as blinded, baby, please Come back, it wasn't you, baby, it was me Maybe our relationship isn't as crazy as it seems Maybe that's what happens when a tornado meets a volcano All I know is I love you too much to walk away though Come inside, pick up your bags off the sidewalk Don't you hear sincerity in my voice when I talk? Told you this is my fault, look me in the eyeball Next time I'm pissed, I'll aim my fist at the drywall Next time? There won't be no next time! I apologize, even though I know it's lies I'm tired of the games, I just want her back, I know I'm a liar If she ever tries to fuckin' leave again, I'ma tie her To the bed and set this house on fire, just gonna— Just gonna stand there and watch me burn? Well, that's all right because I like the way it hurts Just gonna stand there and hear me cry? Well, that's all right because I love the way you lie I love the way you lie I love the way you lie"
Fancy,Drake,2010-10-30,NA
Right Above It,Lil Wayne,2010-11-06,"Kane is in the building Who else is really trying to fuck with Hollywood Cole I'm with Marley G's bro Flying Holly Grove chicks to my Hollywood shows And I wanna tell you something that you probably should know This that Slum Dog Millionaire Bollywood flow and uh My real friends never hearing from me Fake friends write the wrong answers on the mirror for me That's why I pick and choose, I don't get shit confused I got a small circle, I'm not with different crews We walk the same path, but got on different shoes Live in the same building, but we got different views I got a couple cars, I never get to use Don't like my women single, I like my chicks in two's And these days all the girls are down to roll I hit the strip club, and all them bitches find a pole Plus I been sipping, so this shit is moving kinda slow Just tell my girl to tell her friend that it's time to go Now tell me how you love it You know you at the top when only heaven is right above it We on, it's Young Money motherfucker If you ain't running with it, run from it motherfucker Alright, now somebody show some money in this bitch And I got my B's with me like some honey in this bitch, you dig And I got my gun in my boo purse And I don't bust back, because I shoot first Meet me on the fresh train Yes I'm in the building, you just on the list of guest names And all of my riders do not give a fuck, X-Games Guns turn you boys into pussies, sex change And I smoke 'til I got chest pains And you niggas know I rep my gang like Jessie James Women are possessive, and they wanna possess Wayne I been flyin' so long I fell asleep on the fucking plane Skinny pants and some Vans Call me Triple A, get my advance in advance, amen As the world spin and dance in my hands Life is a beach, I'm just playing in the sand Uh, wake up and smell the pussy You niggas can't see me, but never overlook me I'm on a paper trail and ain't no telling where it took me Yeah, and I ain't a killer but don't push me Now tell me how you love it You know you at the top when only heaven is right above it We on, it's Young Money motherfucker If you ain't running with it, run from it motherfucker Alright, now somebody show some money in this bitch And I got my B's with me like some honey in this bitch, you dig I got my gun in my boo purse And I don't bust back, because I shoot first How do you say what's never said? Beautiful black woman, I bet that bitch look better red Limping off tour, 'cause I made more off my second leg Motherfuckin' Birdman Junior, 11th Grade Ball on automatic start I can hand it to Drake or do a quarterback draw Wildcat offense, check the paw prints We in the building, you niggas in apartments Uh, now come on be my blood donor Flow so nice you ain't gotta put a rug on her Do it big and let the small fall under that Damn where you stumbled at? From where they make Gumbo at Kane got the fucking beat jumping like a jumping jack And you know me, I get on this bitch and have a heart attack Hip-Hop, I'm the heart of that Nigga, nothing short of that President Carter, Young Money Democrat Now tell me how you love it You know you at the top when only heaven is right above it We on, it's Young Money motherfucker If you ain't running with it, run from it motherfucker Alright, now somebody show some money in this bitch And I got my b's with me like some honey in this bitch, you dig I got my gun in my boo purse And I don't bust back, because I shoot first"
No Hands,Waka Flocka Flame,2010-12-11,"Listen to this track, bitch! Girl, the way you're moving got me in a trance (Yeah) DJ, turn me up, ladies, this your jam (Come on) I'ma sip Moscato, and you gon' lose them pants (Ooh) Then I'ma throw this money while you do it with no hands (L'eggo) Girl, drop it to the floor (Yeah) I love the way your booty go (Come on) All I wanna do is sit back and watch you move Waka, Waka, Waka, Waka, Flocka, yeah! And I'll proceed to throw this cash (L'eggo) All that ass, in your jeans Can Wale beat? Can Roscoe skeet? Long hair, she don't care, when she walk, she gets stares Brown-skin or a yellow bone, DJ, this my favorite song So I'ma make it thunderstorm, flood warning, Flocka, yeah Blow it, fuck it, I don't care, Jacksons flying everywhere Tap my partner Roscoe, like, ""Bruh, I'm drunk as hell, can't you tell? Threw me 70 bands, bet 50 stacks, oh fucking well I'm tryna hit the hotel with two girls that swallow me Take this dick while I swallow, Pink Moscato got her freaky Hey, you got me in a trance (Damn), please take off your pants Pussy pop on a handstand, you got me sweating Please pass me a fan, damn Girl, the way you're moving got me in a trance (Yeah) DJ, turn me up, ladies, this your jam (Come on) I'ma sip Moscato, and you gon' lose them pants (Ooh) Then I'ma throw this money while you do it with no hands (L'eggo) Girl, drop it to the floor (Yeah) I love the way your booty go (Come on) All I wanna do is sit back and watch you move (Ooh) Ayy, ayy, Wale And I'll proceed to throw this cash (L'eggo) She said, ""Look, ma, no hands"" She said, ""Look, ma, no hands"", and no, darling, I don't dance And I'm with Roscoe, I'm with Waka, I think I deserve a chance I'm a bad motherfucker, go and ask then motherfuckers A young handsome motherfucker I sling that wood, I just Nunchuck them And who you with? And what's your name? And you not hip? Boo, I'm Wale And that D.C. shit, I rep all day And my eyes red cause of all that haze Don't blow my high, let me shine Drumma on the beat, let me take my time Nigga want beef? We can take it outside Fight for what broad? These hoes ain't mine Is you out your mind? You out your league I sweat no bitches, just sweat out weaves Wear out tracks, let me do my thing I got sixteen for this Roscoe thing But I'm almost done, let me get back to it Whole lotta loud and a lil' Backwood Whole lotta money, big tip, I would I put her on the train, little engine could, bitch Girl, the way you're moving got me in a trance (Yeah) DJ, turn me up, ladies, this your jam (Come on) I'ma sip Moscato, and you gon' lose them pants (Ooh) Then I'ma throw this money while you do it with no hands (L'eggo) Girl, drop it to the floor (Yeah) I love the way your booty go (Come on) All I wanna do is sit back and watch you move (Ooh) And I'll proceed to throw this cash (Roscoe Dash, okay, l'eggo!) OK, R-O-S-C-O-E (O-E), Mr. Shawty-Put-It-On-Me (Please) I be going HAM (HAM), shawty upgrade from bologna (Please) Them niggas tipping good, girl, but I can make it flood (I can) 'Cause I walk around with pockets (Pockets) that are bigger than my bus (Whoa) ""Rain, rain, go away""—that's what all my haters say My pockets stuck on overload (Whoa), my rain never evaporates (No) No need to elaborate (Never), most of these ducks exaggerate (They do) But I'ma get money, nigga, everyday stunting, nigga Ducks might get a chance after me (Go) Bitch, I'm balling like I'm coming off of free throws (Yes) Just ahead of the game, no cheat codes (No) Lambo, Roscoe, no street code (Skrt!) And your booty got me lost like Nemo (Go) Go, go, go, g— go'n' and do your dance (Right now) And I'ma throw this money while you do it with no hands, go (I'm gone!) Girl, the way you're moving got me in a trance (Yeah) DJ, turn me up, ladies, this your jam (Come on) I'ma sip Moscato, and you gon' lose them pants (Ooh) Then I'ma throw this money while you do it with no hands (L'eggo) Girl, drop it to the floor (Yeah) I love the way your booty go (Come on) All I wanna do is sit back and watch you move (Ooh) And I'll proceed to throw this cash (L'eggo!)"
