song,artist,hip_hop_rnb,lyrics,genre
Can't Stop,After 7,1,"Last night, I had the time of my life It's true Oh, last night, I made love for the very first time With you I never knew love could be so sweet, mmm It never made a difference to me, mmm, well well But ever since the day that you appeared I'm telling you made the difference Now love is so clear And I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me We're diggin' on we And no, I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me Last night, you brought something special out of me Ooh-wee And for the first time, girl You made my dream a reality Indeed I never thought love was meant for me, mmm I was blind and could not see, mmm, well well You brought about a love that's so sincere And I'm telling you, you've made the difference Now love is so clear And I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me We're diggin' on we And I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me Ooh-wee, girl I can't stop I'm diggin' on you You're diggin' on me We're diggin' on we, girl I can't stop I'm diggin' on you You're diggin' on me You've got me thinking that I need protection 'Cause your love is so strong I don't wanna do wrong Girl, your love seems like it's true I'm asking you just give me a call And I'll give you my all Can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me We're diggin' on we, girl Can't stop (I can't stop) I can't stop how I feel I'm diggin' on you You're diggin' on me You know I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me We're diggin' on we, girl You know I can't stop (I can't Stop) How I feel I'm diggin' on you You're diggin' on me Can't stop (I can't stop) I'm diggin' on you You're diggin' on me We're diggin' on we, girl Can't stop (I can't stop) I'm diggin' on you You're diggin' on me Can't stop (I can't stop)",Hip Hop / RnB
Can I Trust You with My Heart,Travis Tritt,0,"When you meet that certain someone you've been searching hard to find It's a new love full of passion that can sometimes make you blind I don't mind being swept away if I know right from the start So before we go much further girl, can I trust you with my heart In the time we've spent together, I have learned to trust in you So many things you've given before I even asked you to But reality and romance are sometimes far apart So what I really need to know is, can I trust you with my heart Can I cast my cares upon you, can you stand the heavy load Can I count on you to walk me down that long and winding road If you promise me these simple things, I can guarantee You can always count on me girl, oh Can I cast my cares upon you, can you stand the heavy load Can I count on you to walk me down that long and winding road When two hearts solely surrender, and are sworn to understand It completes a perfect union between a woman and a man So please don't misunderstand me, I don't want to go too far Without knowing just one answer, can I trust you with my heart Please girl Give me just one answer Can I trust you with my heart",Country / Rock
Can We Talk,Tevin Campbell,1,"Last night I, I saw you standing And I started, started pretending That I knew you, and you knew me, too And just like a Roni, you were too shy But you weren't the only 'cause so was I And I dreamed of you ever since Now I build up my confidence Girl, next, next time you come my way I'll know just what to say Can we talk for a minute? Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name I started to write you letters But I wanted to be more clever I wanted to get down and sweet talk you Hey, baby But just like a baby, I could not talk And I tried to come closer, but could not walk And I think of it every night How I just could not get it right, oh If we ever come close again I'll know what I'll say then, yeah Can we talk for a minute? Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name Oh, girl One more chance with you again I will not let it go! Oh, please give me just one more chance for love, love, love, love Can we talk for a minute? Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name Can we talk? I wanna talk to my baby Come on and talk to me, baby Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name Can we talk? Come on and talk to me, baby See, I wanna know You better tell me your name, baby Can we talk for a minute? I wanna know, I wanna know I want to know your name Can we talk for a minute?",Hip Hop / RnB
Can You Stand the Rain,New Edition,1,"Ooh, ooh, ooh, ooh, ooh, yeah, yeah, yeah Ooh, ooh, ooh, ooh Whoa, whoa, oh-oh On a perfect day, I know that I can count on you When that's not possible Tell me can you weather the storm? 'Cause I need somebody who will stand by me Through the good times and bad times She will always, always be right there Sunny days, everybody loves them Tell me, baby, can you stand the rain? Storms will come This we know for sure (This we know for sure) Can you stand the rain? Love unconditional, I'm not asking just of you And girl to make it last I'll do whatever needs to be done But I need somebody (Oh) Who will stand by me (Yeah, yeah) When it's tough, she won't run She will always, be right there for me, hee Sunny days, everybody loves them, tell me, baby Can you stand the rain? (Can you stand it?) Storms will come (I know, I know all the days won't be perfect) This we know for sure (But tell me can you stand it) Can you stand the rain? (Can you stand the rain?) Can you stand the rain (Can you stand the rain?) Can you stand the rain (No pressure, no pressure from me, baby) This we know for sure Can you stand the rain ('Cause I want you, and I need you, and I love you, girl) (Tell me, baby) Can you stand the rain (Will you be there for me?) Come on, baby, let's go get wet Can you stand the rain (Can you stand the rain?) Can you stand the rain (Will you be there, girl?) Can you stand the rain (Storms will come for sure) Can you stand the rain (Can you stand the rain?) Can you stand the rain (This we know for sure) Can you stand the rain Can you stand the rain (This we know for sure) Can you stand the rain Can you stand the rain (This we know for sure) Can you stand the rain Can you stand the rain Yeah, it's gonna—but I know, I know I'll be right there (Can you stand the rain?) Yeah, yeah, yeah, yeah-yeah-yeah",Hip Hop / RnB
Can You Stop the Rain,Peabo Bryson,1,"Ooh, ooh, ooh, girl Here's another morning without you Here's another day, will I get through Without breaking down Haven't seen the sun since you've been gone Like my heart I lost it when you left me And it can't be found How can I go on Baby, I've been living on memories Of you and me All the love we made All those tender nights And those endless days They're all here inside Baby, can you stop the rain from falling? Won't you chase my clouds away? I'd give anything to see the sun again Only you can stop these tears from falling I can't face another day Baby, can you stop Can you stop the rain? Oh, oh Everywhere I go I feel you there Following my footsteps like a shadow Of my broken heart Sometimes it's a pair of passing eyes Or it's just the way someone who's talking And there you are Am I all alone Don't you ever wake up and reach for me Where I used to be Is there any chance I just can't believe you're not lonely too Just for me and you Baby, can you stop the rain from falling? Won't you chase my clouds away? I'd give anything to see the sun again Only you can stop these tears from falling I can't face another day, baby, can you stop Can you stop the rain? Oh, oh If you are here for only one night Baby, I know you remember 'Cause loving you once wasn't time enough I know we can make it together Together Baby, stop the rain Won't you chase my clouds away I'd give anything to see the sun again Only you can stop these tears of mine from falling I can't face another day Baby, can you stop Can you, can you stop the rain? Can you stop the rain? yeah How can I live without you, baby? How can I let you go? yeah Chase my clouds away, yeah",Hip Hop / RnB
Candy Shop,50 Cent,1,"Yeah, uh-huh So seductive I'll take you to the candy shop I'll let you lick the lollipop Go 'head, girl, don't you stop Keep goin' until you hit the spot, woah I'll take you to the candy shop (Yeah) Want one taste of what I got? (Uh-huh) I'll have you spendin' all you got (Come on) Keep goin' until you hit the spot, woah You could have it your way, how do you want it? You gon' back that thing up or should I push up on it? Temperature risin', okay, let's go to the next level Dance floor jam-packed, hot as a tea kettle I'll break it down for you now, baby, it's simple If you be a nympho, I be a nympho In the hotel or in the back of the rental On the beach or in the park, it's whatever you into Got the magic stick, I'm the love doctor Have your friends teasin' you 'bout how sprung I got you Wanna show me you could work it, baby? No problem Get on top, then get to bounce around like a low rider I'm a seasoned vet when it come to this shit After you work up a sweat, you could play with the stick I'm tryin' to explain, baby, the best way I can I'll melt in your mouth, girl, not in your hand, ha-ha I'll take you to the candy shop I'll let you lick the lollipop Go 'head, girl, don't you stop Keep goin' until you hit the spot, woah I'll take you to the candy shop Want one taste of what I got? I'll have you spendin' all you got Keep goin' until you hit the spot, woah Girl, what we do (What we do) And where we do (And where we do) The things we do (Things we do) Are just between me and you, yeah (Oh yeah) Give it to me, baby, nice and slow Climb on top, ride like you in a rodeo You ain't never heard a sound like this before 'Cause I ain't never put it down like this Soon as I come through the door, she get to pullin' on my zipper It's like it's a race, who could get undressed quicker Isn't it ironic, how erotic it is to watch her in thongs? Had me thinkin' 'bout that ass after I'm gone I touched the right spot at the right time Lights on or lights off, she like it from behind So seductive, you should see the way she whine Her hips in slow-mo on the floor when we grind Long as she ain't stoppin', homie, I ain't stoppin' Drippin' wet with sweat, man, it's on and poppin' All my champagne campaign, bottle after bottle, it's on And we gon' sip 'til every bubble in every bottle is gone I'll take you to the candy shop I'll let you lick the lollipop Go 'head, girl, don't you stop Keep goin' until you hit the spot, woah I'll take you to the candy shop Want one taste of what I got? I'll have you spendin' all you got Keep goin' until you hit the spot, woah I'll take you to the candy shop I'll let you lick the lollipop Go 'head, girl, don't you stop Keep goin' until you hit the spot, woah I'll take you to the candy shop Want one taste of what I got? I'll have you spendin' all you got Keep goin' until you hit the spot, woah",Hip Hop / RnB
Carolina,Parmalee,0,"Home is where my heart is still beating I don't know when I'll see her again I hate to see her cry when I'm leaving But now I'm a thousand miles away again She feels like Carolina Looks like California Shining like those New York lights on Broadway When she looks back I'm behind her I'll always be there for her She makes me feel like home's not so far away She feels like Carolina It's hard to understand the way I'm living I know she thinks I'm never coming home (never coming home) But I miss her pretty smile, and I'm coming back in a little while But I'm a thousand miles away again She feels like Carolina (feels like Carolina) Looks like California (looks like California) Shining like those New York lights on Broadway When she looks back I'm behind her I'll always be there for her She makes me feel like home's not so far away She makes me feel like home's not so far away No matter how far I go, you know I can't stop thinking about her And there's nothing like the way I feel, the way I feel when I'm beside her Oh, Oh, Oh, Oh Oh, Oh, Oh, Oh She feels like Carolina Looks like California Shining like those New York lights on Broadway She feels like Carolina (feels like Carolina) Looks like California Shining like those New York lights on Broadway When she looks back I'm behind her (feels like Carolina) I'll always be there for her She makes me feel like home's not so far away Carolina California Like home's not so far away She feels like Carolina (feels like Carolina) Looks like California She makes me feel like home's not so far away She makes me feel like home (so far away) She makes me feel like home's not so far away",Country / Rock
Carried Away,George Strait,0,"I don't take my whiskey to extremes Don't believe in chasing crazy dreams My feet are planted firmly on the ground But darling when you come around I get carried away by the look by the light in your eyes Before I even realize the ride I'm on baby I'm long gone I get carried away nothing matters but being with you Like a feather flying high up in the sky on a windy day, I get carried away It might seem like an ordinary night Same ol' stars, the same ol' moon up high But when I see you standing at your door Nothing's ordinary anymore I get carried away by the look by the light in your eyes Before I even realize the ride I'm on baby I'm long gone I get carried away nothing matters but being with you Like a feather flying high up in the sky on a windy day, I get carried away I get carried away by the look by the light in your eyes Before I even realize the ride I'm on baby I'm long gone I get carried away nothing matters but being with you Like a feather flying high up in the sky on a windy day, I get carried away Carried away",Country / Rock
Carrying Your Love with Me,George Strait,0,"Baby all I got is this beat up leather bag And everything I own don't fill up half But don't you worry about the way I pack All I care about is getting back real soon A goodbye kiss is all I need from you 'Cause I'm carrying your love with me West Virginia down to Tennessee I'll be moving with the good Lord's speed Carrying your love with me It's my strength for holding on Every minute that I have to be gone I'll have everything I ever need Carrying your love with me On a lonely highway, stuck out in the rain Darling all I have to do is speak your name The clouds roll back and the waters part The sun starts shining in my heart for you You're right there in everything I do 'Cause I'm carrying your love with me West Virginia down to Tennessee I'll be moving with the good Lord's speed Carrying your love with me It's my strength for holding on Every minute that I have to be gone I'll have everything I'll ever need I'm carrying your love with me I'm carrying your love with me West Virginia down to Tennessee I'll be moving with the good Lord's speed Carrying your love with me",Country / Rock
Cashin' Out,Cash Out,1,"I'm ridin' round wit that Nina You know we smokin' on Keisha Hey, hey, hey can I meet ya? Cut it up Cool 36 Os so riding round with that nina Riding with a ho named Keisha, smokin' on Keisha My diamonds talk for me, they say, ""Hi, can I meet you?"" G5, how high in the sky, ho I can't see you Got a condo on my wrist, girl, I'm cashing out Got a condo around my neck, girl, I'm cashing out 36 Os so I'm riding round with that nina My diamonds talk for me, they say ""Hi, can I meet you?"" I got Versace all on my back These hoes all on my back Plus these plugs all on my back Cause they know I'm moving that pack These Louies all in my face Four-fifths stay up on my waist Plus it ain't on me for nothing so please don't make me catch a case Cause bitch I'm 'bout it Me walking round with no check on me, psshh Yeah I doubt it Your girl ain't finna leave with me, psshh Yeah, I doubt it And I'm like, ""What the hell they talking 'bout?"" And if I got it I bought it, cause boy, you know I'm cashing out Cool 36 Os so riding round with that nina Riding with a ho named Keisha, smokin' on Keisha My diamonds talk for me, they say, ""Hi, can I meet you?"" G5, how high in the sky, ho I can't see you Got a condo on my wrist, girl, I'm cashing out Got a condo around my neck, girl, I'm cashing out 36 Os so I'm riding round with that nina My diamonds talk for me, they say ""Hi, can I meet you?"" Okay, I drop the top: hop in Hoes they coming by flocks in Birds they coming by flocks in Pass them birds like Stockton Play with my money I'm popping No acting, but it's a movie Got Spinz on the beat so we ain't losing Don't act like your ho ain't choosin I done blowed up, yeah I'm the bomb Riding round blowing on stank bombs Pussy so good you should thank moms Top-floor suite chilling at the Palms We want the whole loaf, leave y'all the crumbs Till then I'm running my check up And it's fuck a Bugatti, I'm calling my jet up Cool 36 Os so riding round with that nina Riding with a ho named Keisha, smokin' on Keisha My diamonds talk for me, they say, ""Hi, can I meet you?"" G5, how high in the sky, ho I can't see you Got a condo on my wrist, girl, I'm cashing out Got a condo around my neck, girl, I'm cashing out 36 Os so I'm riding round with that nina My diamonds talk for me, they say ""Hi, can I meet you?"" It's big pimping over here... Church Time to cop the Maybach, already had the vert I got big money visions, Sammy Sosa pigeons What that mean? That mean they jumping out the kitchen And I'm on the money mission, nobody can stop me Just grab your camcorder, press record and go on and watch me And you can skate on my ice just like you playing hockey And in the booth I beat the beat up, call me Rocky Yeah I'm cocky Cool 36 Os so riding round with that nina Riding with a ho named Keisha, smokin' on Keisha My diamonds talk for me, they say, ""Hi, can I meet you?"" G5, how high in the sky, ho I can't see you Got a condo on my wrist, girl, I'm cashing out Got a condo around my neck, girl, I'm cashing out 36 Os so I'm riding round with that nina My diamonds talk for me, they say ""Hi, can I meet you?""",Hip Hop / RnB
Cathy's Clown,Reba McEntire,0,I want your loving more and more I want your kisses that's for sure I die each time I hear the sound They're saying here he comes He's Cathy's Clown You know you've got to stand tall You know a man can't crawl And when you let her tell you lies And you let them pass you by You're not a man at all She doesn't want your loving anymore She doesn't want your kisses that's for sure Why do you let them put you down And let them call you Cathy's Clown When you see me shed a tear Then you know that I'm sincere I just think it's kind of sad That she's treating you so bad And I'm the one who cares I want your loving more and more I want your kisses that's for sure I die each time I hear the sound They're saying here he comes He's Cathy's Clown You're Cathy's Clown You're Cathy's Clown,Country / Rock
Cha Cha Cha,MC Lyte,1,"You can cha-cha-cha to this Mardis Gras I'm the dopest female that you've heard thus far And I do get better, the voice gets wetter Nobody gets hurt (as long as you let her) Do my thing with an '89 swing The dopeness I write, I guarantee delight To the hip-hop maniac, the Uptown brainiac In full effect, MC Lyte is back And better than before as if that was possible My competition, you'll find them in the hospital Visiting time, I think it's on a Sunday But notice they only get one day to shine The rest of the week is mine And I'll blind you with the science that the others have yet to find So come along and I'll lead you the right way Just clap your hands to the words I say, come on... I've got the power to spread out and devour At the same time I'll eat you up with a rhyme But I'll let you slide cuz you accidently hopped on the wrong side Now come on, that's suicide Hypothetically speaking Ok, let's say you didn't know what you were doing You're new in town, and you're looking around For another name to ruin, and it's me that you're pursuing? Well well well, I'll be damned I might as well tell you who I am I am the capital L-Y-T-E And it's shocking I'm the one you're mocking Oh yes, I've been watching you watching me And like the fat on your back it's plain to see That you're a wannabe, but you can't be what you're not So you better start living with what you got Yeah, DJ K-Rock when you hear a scratch Now it's time to kick a rhyme out the batch And you're the receiver eager as a beaver Time to convert the non-believer That I'm a roadrunner leaving you in the dust I can adjust to the times and at times I might just get quicker Than the ticker of your pacemaker More tender than a roni but harder than a jawbreaker So don't ever second guess me And if you're wondering who could the best be Think a second and recollect the worst whipping you ever had yet And I'll bet that I did it My fingerprints are still on you How many times I gotta warn you About the light? It'll blind your sight But the rhythm will still guide you through the night [Kick this tip... Kick this one here for me and my DJ]",Hip Hop / RnB
Chains,Patty Loveless,0,"Bought a ticket to Seattle but I can't get to the plane Everytime I leave you I keep running out of chain I hunger for your love it never gives me any slack But if I ever break away, I'm never coming back to these Chains, chains, shackles and chains No matter what it takes some day I'm gonna break these Chains, chains, shackles and chains These love taking, heart breaking Cold, hard, lonely making chains You never try to hold me 'till you see me walking out I guess you'd rather be with me than ever be without You call me back and kiss me and my heart begins to sink When I know that all you're doing's Taking up another link in these Chains, chains, shackles and chains No matter what it takes some day I'm gonna break these Chains, chains, shackles and chains These love taking, heart breaking Cold, hard, lonely making chains Love was never meant to be a one-way street I was never meant to be falling at your feet You got me where you want me And I don't know what to do You don't belong to me but I belong to you in these Chains, chains, shackles and chains No matter what it takes some day I'm gonna break these Chains, chains, shackles and chains These love taking, heart breaking Cold, hard, lonely making chains...",Country / Rock
Chalk Outline,Three Days Grace,0,"I've been cursed, I've been crossed I've been beaten by the ones that get me off I've been cut, I've been opened up I've been shattered by the ones I thought I loved You left me here like a chalk outline On the sidewalk waiting for the rain to wash away, wash away You keep coming back to the scene of the crime But the dead can't speak and there's nothing left to say anyway (Anyway) All you left behind (Behind) Is a chalk outline (Outline) I've been cold in the crypt But not as cold as the words across your lips (Lips) You'll be sorry, baby, someday When you reach across the bed, where my body used to lay You left me here like a chalk outline On the sidewalk waiting for the rain to wash away, wash away You keep coming back to the scene of the crime But the dead can't speak and there's nothing left to say anyway (Anyway) All you left behind (Behind) Is a chalk outline (Outline) All you left behind (Behind) Is a chalk outline (Outline) (All you left behind) You left me here like a chalk outline On the sidewalk waiting for the rain to wash away, wash away You keep coming back to the scene of the crime But the dead can't speak and there's nothing left to say anyway (Anyway) All you left behind (Behind) Is a chalk outline",Country / Rock
Champagne,Cavo,0,"I need you here with me Don't take this too far now Your eyes seem so lonely Inside, you feel like you lost your mind Could've been the champagne, the champagne Could've been the cocaine, the cocaine Could've been the way you looked at me That told me we were through Could've been a bad day, a bad day Could've been the real way, the real way Could've been the way you looked at me That told me we were through, through And I miss you all day now I'm screaming inside out Don't tempt me 'cause I'll break you I don't need this And I'll burn this whole thing down Could've been the champagne, the champagne Could've been the cocaine, the cocaine Could've been the way you looked at me That told me we were through Could've been a bad day, a bad day Could've been the real way, the real way Could've been the way you looked at me That told me we were through Through, we were through I wish you would take from me Everything I cannot be With eyes so blind, you cannot see That I won't ever leave Well, could've been the champagne, the champagne Could've been the cocaine, the cocaine Could've been the way you looked at me That told me we were through Could've been a bad day, a bad day Could've been the real way, the real way Could've been the way you looked at me That told me we were through Through, we were through And now, we're through",Country / Rock
Change of Heart,The Judds,0,"When you were mine I was still playing And promises that I made Were just words I was saying I was playing you for a fool Breaking love's precious rule I did you so wrong Guess you knew all along That I had my boss lie for me To say I was working late My friends alibied for me When I'd slip out to meet a date But, baby Now I see I was only cheating me Before you go I just want you to know That I've had a change of heart I've had a change of heart I see what I put you through And I'll make it up to you I've had a change of heart [Verse 2: I've just got to show you How differently I feel That I can be true to you That my love is real But my past will forever haunt me If you say that you don't want me I'm down on my knees I'm begging you please Won't you? Have a change of heart Please have a Have a change of heart I see what I put you through I'll make it up to you Please have a change of heart Please have a change of heart Please have a change of heart",Country / Rock
Chattahoochee,Alan Jackson,0,Well way down yonder on the Chattahoochee It gets hotter than a hoochie coochie We laid rubber on the Georgia asphalt We got a little crazy but we never got caught Down by the river on a Friday night A pyramid of cans in the pale moonlight Talkin' about cars and dreamin' about women Never had a plan just a livin' for the minute Yeah way down yonder on the Chattahoochee Never knew how much that muddy water meant to me But I learned how to swim and I learned who I was A lot about livin' and a little about love Aw haw Well we fogged up the windows in my old chevy I was willin' but she wasn't ready So I settled for a burger and a grape snow cone I dropped her off early but I didn't go home Down by the river on a Friday night A pyramid of cans in the pale moonlight Talkin' about cars and dreamin' about women Never had a plan just a livin' for the minute Yeah way down yonder on the Chattahoochee Never knew how much that muddy water meant to me But I learned how to swim and I learned who I was A lot about livin' and a little about love Well way down yonder on the Chattahoochee It gets hotter than a hoochie coochie We laid rubber on the Georgia asphalt We got a little crazy but we never got caught Well we fogged up the windows in my old chevy I was willin' but she wasn't ready So I settled for a burger and a grape snow cone I dropped her off early but I didn't go home Down by the river on a Friday night A pyramid of cans in the pale moonlight Talkin' about cars and dreamin' about women Never had a plan just a living for the minute Yeah way down yonder on the Chattahoochee Never knew how much that muddy water meant to me But I learned how to swim and I learned who I was A lot about livin' and a little about love A lot about livin' and a little about love Yeah-eee That's right,Country / Rock
Check My Brain,Alice in Chains,0,"So I found myself in the sun, oh yeah A hell of a place to end a run, oh yeah California, I'm fine Somebody check my brain California's all right Somebody check my brain Check my brain I walk these streets, I creep and I fall, oh yeah When she sang I answered the call, oh yeah California, I'm fine Somebody check my brain California's all right Somebody check my brain Ah, tears that filled my bong Ah, years expended gone I hung my guns and put 'em away, oh yeah The trick of the trade, and by the way, oh yeah California, I'm fine Somebody check my brain California's all right Somebody check my brain Ah, tears that filled my bong Ah, years expended gone Ah, tears that filled my bong Ah, years expended gone Ah, tears that filled my bong Ah, years expended gone Check my brain Check my brain Check my brain",Country / Rock
Check Yes or No,George Strait,0,"It started way back in third grade I used to sit beside Emmylou Hayes A pink dress, a matching bow and her pony tail She kissed me on the school bus, but told me not to tell Next day I chased her 'round the playground Across the monkey bars, to the merry-go-round And Emmylou got caught passing me a note Before the teacher took it, I read what she wrote ""Do you love me, do you wanna be my friend? And if you do Well then don't be afraid to take me by the hand If you want to I think this is how love goes, check yes or no"" Now we're grown up and she's my wife Still like two kids with stars in our eyes Ain't much changed, I still chase Emmylou Up and down the hall, around the bed in our room Last night I took her out in a white limousine Twenty years together, she still gets to me Can't believe it's been that long ago When we got started with just a little note ""Do you love me, do you wanna be my friend? And if you do Well then don't be afraid to take me by the hand If you want to I think this is how love goes, check yes or no"" ""Do you love me, do you wanna be my friend? And if you do Well then don't be afraid to take me by the hand If you want to I think this is how love goes, check yes or no"" Check yes or no Check yes or no Check yes or no Check yes or no",Country / Rock
Chicken Fried,Zac Brown Band,0,"You know I like my chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I was raised up beneath the shade of a Georgia Pine And that's home you know Sweet tea, pecan pie, and homemade wine where the peaches grow And my house it's not much to talk about But it's filled with love that's grown in southern ground And a little bit of chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love It's funny how it's the little things in life that mean the most Not where you live, what you drive, or the price tag on your clothes There's no dollar sign on a piece of mind This I've come to know So if you agree, have a drink with me Raise your glasses for a toast To a little bit of chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love I thank God for my life And for the stars and stripes May freedom forever fly, let it ring Salute the ones who died The ones that give their lives so we don't have to sacrifice All the things we love Like our chicken fried And cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love Get your little chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've done seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love",Country / Rock
Chillin' It,Cole Swindell,0,"I got my shades on, top back Rollin' with the music jacked One on the wheel, one around you baby Little sun left to burn in the blue sky Shinin' off the cross hangin' from the mirror of my ride Breeze blowin' in, your hair blowin' round You're scanning through the stations lookin' for that country sound The good stuff iced up in the back seat Nowhere to go, nowhere to be I got my shades on, top back Rollin' with the music jacked One on the wheel, one around you baby Sunset I bet there's a chance we can get Sure enough tangled up laid back and lazy Pour it on easy now don't spill a bit Nothing but time tonight, let's get to killin' it Long as I'm rockin' with you girl You know I'm cool with Just chillin' it Nothing but two lane country on up ahead Girl you so fine, I wouldn't mind if this is all we did You got me high on kisses You got me missin' signs Hard lookin' left when my world is on my right I got my shades on, top back Rollin' with the music jacked One on the wheel, one around you baby Sunset I bet there's a chance we can get Sure enough tangled up laid back and lazy Pour it on easy now don't spill a bit Nothing but time tonight, let's get to killin' it Long as I'm rockin' with you girl You know I'm cool with Just chillin' it Nothing like a little you and me low key Right now I'm right where I wanna be I got my shades on, top back Rollin' with the music jacked One on the wheel, one around you baby Sunset I bet there's a chance we can get Sure enough tangled up laid back and lazy Pour it on easy now don't spill a bit Nothing but time tonight, let's get to killin' it Long as I'm rockin' with you girl You know I'm cool with Just chillin' it Yeah I love rockin' with you and girl We're just chillin' it",Country / Rock
Cleaning This Gun (Come On In Boy),Rodney Atkins,0,"The Declaration of Independence Think I could tell you that first sentence but then I'm lost I can't begin to count the theories I've had pounded in my head that I forgot I don't remember all that Spanish Or The Gettysburg Address But there is one speech from high school I'll never forget Come on in boy, sit on down And tell me about yourself So you like my daughter, do you now? Yeah, we think she's something else She's her daddy's girl Her momma's world She deserves respect That's what she'll get, ain't it son? Now, y'all run along and have some fun I'll see you when you get back Bet I'll be up all night Still cleaning this gun Well, now that I'm a father I'm scared to death one day my daughter Is gonna find that teenage boy I used to be That seems to have just one thing on his mind She's growin' up so fast It won't be long before Yeah, I'll have to put the fear of God Into some kid at the door Yeah, come on in boy, sit on down And tell me about yourself So you like my daughter, do you now? Yeah, we think she's something else She's her daddy's girl Her momma's world She deserves respect That's what she'll get, now ain't it son? Now y'all go out and have some fun And I'll see you when you get back Probably be up all night Still cleaning this gun Now it's all for show Ain't nobody gonna get hurt It's just a daddy thing And hey, believe me, man, it works Yeah, come on in boy, sit on down And tell me about yourself So you like my daughter, do you now? Yeah, we think she's something else She's her daddy's girl Her momma's world She deserves respect That's what she'll get, ain't it son? Now y'all run along and have a little fun And I'll see you when you get back Probably be up all night Still cleaning this gun Son, now y'all buckle up And have her back by 10:00, uh Let's say about 9:30 Drive safe",Country / Rock
Climax,Usher,1,"Going nowhere fast We've reached the climax We're together, now we're undone Won't commit, so we choose to run away Do we separate? Oh, don't wanna give in, so we both gave up Can't take it back, it's too late, we've reached the climax Climax I've fallen somehow Feet off the ground Love is the cloud That keeps raining down Where are you now When I need you around? I'm on my knees But it seems we're Going nowhere fast We've reached the climax We're together, now we're undone Won't commit, so we choose to run away Do we separate? Oh, don't wanna give in, so we both gave up Can't take it back, it's too late, we've reached the climax Climax I gave my best, it wasn't enough You get upset, we argue too much We made a mess of what used to be love So why do I care, I care at all At all At all, at all Going nowhere fast We've reached the climax We're together, now we're undone Won't commit, so we choose to run away Do we separate? Oh, don't wanna give in, so we both gave up Can't take it back, it's too late, we've reached the climax Climax You say it's better if we Love each other separately I just need you one more time I can't get what we had out my mind Where are you now When I need you around? I'm on my knees But it seems we're going Nowhere fast We've reached the climax We're together, now we're undone Won't commit, so we choose to run away Do we separate? Oh, don't wanna give in, so we both gave up Can't take it back, it's too late, we've reached the climax Climax",Hip Hop / RnB
Closer Than Friends,Surface,1,"If you don't know how I feel for you It's time I let all feelings show I love you and I'll never let you go No, baby Right now we're just friends But I pray someday you'll surrender To love so tender I won't push you As long as you know that my love is true Get closer to you, baby (Hey) Closer than just friends (I want to) Get closer to you, baby (Hey) Closer than just friends How about you? How about you? It's hard to explain When you're close to me I get a warm sensation inside I can't deny this I want to try it Each and every time you come by Girl, I don't wanna lose your love By putting my cards on the table You know I'm thankful For what we have But I have feelings inside They're so strong I can't hide Get closer to you, baby (I want to) Closer than just friends Get closer to you, baby (Yeah) Closer than just friends How about you? I know you're probably thinking That you heard this so many times before But, girl, when you're here I want you to stay And when you're gone I want you even more every day Girl, I don't wanna lose your love By putting my cards on the table You know I'm thankful For what we have But I have feelings inside They're so strong I can't hide Get closer to you, baby (No, baby) Closer than just friends (They're so strong I can't hide) Get closer to you, baby (How about you get closer, baby) Closer than just friends (Closer than friends, oh, oh, oh, oh, oh baby) Closer than just friends (How about you?) Get closer to you, baby (How about you?) Yeah, my baby, my baby, whoa, oh, oh To you, lady Hey, yeah Closer than just friends Me and you, woo I want to How 'bout, 'bout you Whoa, whoa-oh There's nothing I won't do To get close to you (Closer than just friends) Baby, yeah, hoo Closer, my baby (Closer than just friends) Nothing I won't do to get close to you, ooh, baby, yeah",Hip Hop / RnB
