song	artist	hip_hop_rnb	lyrics
Brand New Man	Brooks & Dunn	0	I saw the light I've been baptized By the fire in your touch and the flame in your eyes I'm born to love again I'm a brand new man Well, the whole town's talkin', 'bout the line I'm walkin' That leads right to your door Oh, how I used to roam I was a rolling stone I used to have a wild side, they say a country-mile-wide I'd burn those beer joints down That's all changed now You turned my life around Oh, I saw the light I've been baptized By the fire in your touch and the flame in your eyes I'm born to love again I'm a brand new man I used to love 'em and leave 'em, oh, I'd brag about my freedom How no one could tie me down Then I met you Now my heart beats true Baby you and me together, feels more like forever Than anything I've ever known We're right on track I ain't looking back Yeah, I saw the light I've been baptized By the fire in your touch and the flame in your eyes I'm born to love again I'm a brand new man Oh, I saw the light I've been baptized By the fire in your touch and the flame in your eyes I'm born to love again I'm a brand new man Yeah, I saw the light I've been baptized By the fire in your touch and the flame in your eyes I'm born to love again I'm a brand new man Yeah, I'm born to love again I'm a brand new man
Break Up with Him	Old Dominion	0	Hey girl, wassup I know it's late but I knew you'd pick it up Naw, I ain't drunk Okay, maybe I do have a little buzz, but That song came on and I just thought What harm could come from one little call I know you say you're taken but I say Girl you're takin' too long To tell him that it's over Then bring it on over Stringing him along any longer girl Is just wasting precious time Girl you know it can't wait Rip it off just like a Band-Aid The way you look at me, girl, you can't pretend I know you ain't in love with him Break up with him I know you don't wanna break his heart But that ain't no good reason to be Keeping us apart Look, just tell him it's you, it ain't him And maybe you can lie to him and say you'll Still be friends Whatever you got to say to get through to him That you ain't in love C'mon you can't deny that you and I Kinda fit like a glove So tell him that it's over Then bring it on over Stringing him along any longer girl Is just wasting precious time Girl you know it can't wait Rip it off just like a Band-Aid It ain't my business to be all up in But I know you ain't in love with him Break up with him I know that you so done with him Break up with him, break up with him You would've hung up by now If you weren't thinking it too No pressure whatever Just do what you gotta do But if I was you I'd tell him that it's over Then bring it on over Stringing him along any longer girl Is just wasting precious time Girl you know it can't wait Just rip it off just like a Band-Aid Yeah, I know I said it but I'll say it again I know you ain't in love with him Break up with him The way you look at me girl you can't pretend I know you ain't in love with him Break up with him Just break up with him
Breakdown	Tantric	0	In your life you seem to have it all You seem to have control But deep within your soul You're losing it You never took the time Assume that you're to blame You think that you're insane Won't you spare me I know the breakdown Everything is gonna shake now someday I know the breakdown Tell me again am I awake now maybe You can find the reason that no one else is living this way Yeah your lies Your world is built around Two faces of a clown The voices in your head Think there's four pawns down Well in this unity Fate has found the need So you better check yourself Before you check out I know the breakdown Everything is gonna shake now someday I know the breakdown Tell me again am I awake now maybe You can find the reason that no one else is living this way If you find yourself Then you might believe Then within yourself You just might conceive I know the breakdown Everything is gonna shake now someday I know the breakdown Tell me again am I awake now maybe You can find the reason that no one else is living this way You can find the reason that (you can find the reason that) No one else is living this way (you can find the reason that way)
Breaking the Habit	Linkin Park	0	Memories consume like opening the wound I'm picking me apart again You all assume I'm safe here in my room Unless I try to start again I don't want to be the one the battles always choose 'Cause inside, I realize that I'm the one confused I don't know what's worth fighting for or why I have to scream I don't know why I instigate and say what I don't mean I don't know how I got this way, I know it's not alright So I'm breaking the habit I'm breaking the habit tonight Clutching my cure, I tightly lock the door I try to catch my breath again I hurt much more than anytime before I had no options left again I don't want to be the one the battles always choose 'Cause inside, I realize that I'm the one confused I don't know what's worth fighting for or why I have to scream I don't know why I instigate and say what I don't mean I don't know how I got this way, I'll never be alright So I'm breaking the habit I'm breaking the habit tonight I'll paint it on the walls 'Cause I'm the one at fault I'll never fight again And this is how it ends I don't know what's worth fighting for or why I have to scream But now I have some clarity to show you what I mean I don't know how I got this way, I'll never be alright So I'm breaking the habit I'm breaking the habit I'm breaking the habit tonight
Breath	Breaking Benjamin	0	I see nothing in your eyes And the more I see, the less I like Is it over yet? In my head I know nothing of your kind And I won't reveal your evil mind Is it over yet? I can't win So, sacrifice yourself And let me have what's left I know that I can find The fire in your eyes I'm going all the way Get away, please You take the breath right out of me You left a hole where my heart should be You got to fight just to make it through 'Cause I will be the death of you This will be all over soon (This will all be over soon) Pour the salt into the open wound Is it over yet? Let me in So, sacrifice yourself And let me have what's left I know that I can find The fire in your eyes I'm going all the way Get away, please You take the breath right out of me You left a hole where my heart should be You got to fight just to make it through 'Cause I will be the death of you (Take, take, take) I'm waiting I'm praying Realize Start hating You take the breath right out of me You left a hole where my heart should be You got to fight just to make it through 'Cause I will be the death of you
Breathe	Faith Hill	0	I can feel the magic floating in the air Being with you gets me that way I watch the sunlight dance across your face and I've Never been this swept away All my thoughts just seem to settle on the breeze When I'm lying wrapped up in your arms The whole world just fades away The only thing I hear Is the beating of your heart And I can feel you breathe, it's washing over me And suddenly, I'm melting into you There's nothing left to prove Baby, all we need is just to be Caught up in the touch, slow and steady rush Baby, isn't that the way that love's supposed to be? I can feel you breathe Just breathe In a way, I know my heart is waking up As all the walls come tumbling down I'm closer than I've ever felt before And I know, and you know There's no need for words right now And I can feel you breathe, it's washing over me And suddenly, I'm melting into you There's nothing left to prove Baby, all we need is just to be Caught up in the touch, slow and steady rush Baby, isn't that the way that love's supposed to be? I can feel you breathe Just breathe Caught up in the touch The slow and steady rush Baby, isn't that the way that love's supposed to be? I can feel you breathe Just breathe I can feel the magic floating in the air Being with you gets me that way
Broccoli	DRAM	1	Ain't no tellin' what I'm finna be on, ayy, ayy I'm beyond all that fuck shit, hey Hey, lil' mama, would you like to be my sunshine? Nigga, touch my gang, we gon' turn this shit to Columbine Ice on my neck, cost me ten times three Thirty thousand dollars for a nigga to get flee I just hit Rodéo and I spent like ten Gs I just did a show and spent the check on my mama When I go on vacay I might rent out the Bahamas And I keep like ten phones, damn, I'm really never home All these niggas clones, tryna copy what I'm on (what I'm on) Nigga, get your own, tryna pick a nigga bone Word to brother, Skip, boy, I had a good day Metro PCS, trappin', boy, I'm makin' plays Fifty Shades of Grey, beat that pussy like Hulk Hogan I know you know my slogan, if it ain't 'bout guap, I'm gone Niggas hatin' 'cause I'm chosen from the concrete, I had rose Shawty starin' at my necklace 'cause my diamonds really froze Put that dick up in her pussy, bet she feel it in her toes I'm a real young nigga from the six throwin' 'bows I'm a real young nigga from the six throwin' 'bows Real young nigga from the six throwin' 'bows In the middle of the party, bitch, get off me (goddamn) In the cut, I'm rollin' up my broccoli (goddamn) Yeh, I know your baby mama fond of me (goddamn) All she want to do is smoke that broccoli (goddamn) Whispered in my ear, she tryna leave with me (goddamn) Tell her I can get that pussy easily (goddamn) Tell her I can hit that shit so greasily (goddamn) I'm a dirty dog, I did it sleazily (damn) Ain't no tellin' what I'm finna be on, ayy, ayy I'm beyond all that fuck shit, ayy Ain't no tellin' what I'm finna, hey I'm beyond, ayy, ayy Said I'm beyond all that fuck shit, ayy I got companies and Pesos I got people on my payroll She don't do it 'less I say so I don't smoke if it ain't fuego I should sauce 'em up like Prego Fettucini with Alfredo All I wanted was the fame and every game they made on Sega I was five or six years old when I had told myself, ""Okay you're special"" But I treat you like my equal never lesser I was twenty-six years old when we had dropped this one amazing record Had the world steppin' That's what I call epic Couple summers later I got paper I acquired taste for salmon on a bagel With the capers on a square plate At the restaurant with the ""why you got to stare"" face To know I either ball or I record over the snare and bass Rapper face, dread headed Golden diamond teeth wearin' They just mad 'cause I got that cheese, bitch, I keep dairy Turnt up in the party, gettin' lit to Yachty With a Spanish Barbie, word to my mami In the middle of the party, bitch, get off me (off me) In the cut, I'm rollin' up my broccoli (my weed, my weed) Yeah, I know your baby mama fond of me (she fond of me) All she want to do is smoke that broccoli (the weed, the weed) Whispered in my ear she trying to leave with me (she runnin' for) Said that I can get that pussy easily (she fallin' for) Said I can hit that shit so greasily (oh yeah, oh yeah) I'm a dirty dog, I did it sleazily (yeah)
Broken Halos	Chris Stapleton	0	Seen my share of broken halos Folded wings that used to fly They've all gone wherever they go Broken halos that used to shine Angels come down from the heavens Just to help us on our way Come to teach us, then they leave us And they find some other soul to save Seen my share of broken halos Folded wings that used to fly They've all gone wherever they go Broken halos that used to shine Broken halos that used to shine Don't go looking for the reasons Don't go asking Jesus why We're not meant to know the answers They belong to the by and by They belong to the by and by Seen my share of broken halos Folded wings that used to fly They've all gone wherever they go Broken halos that used to shine Broken halos that used to shine Broken halos that used to shine Broken halos that used to shine
Brother Jukebox	Mark Chesnutt	0	Brother jukebox, sister wine Mother freedom, father of time Since she left me by myself You're the only family I've got left I go down to that same old café Where I try to wash my troubles away I'm still down and I'm still all alone But it beats staying home all night long Brother jukebox, sister wine Mother freedom, father of time Since she left me by myself You're the only family I've got left I go home and I climb that old stairway And I tell myself ""tomorrow's a new day"" But I know I'll just go out again And spend my time with my new next-of-kin Brother jukebox, sister wine Mother freedom, father of time Since she left me by myself You're the only family I've got left Brother jukebox, sister wine Mother freedom, father of time Since she left me by myself You're the only family I've got left You're the only family I've got left
Bulletproof	Godsmack	0	Contemplating, isolating And it's stressing me out Different visions, contradictions Why won't you let me out? I need a way to separate But I promised you that I'll make sure you never forget me (Never forget me) Now that you want it Now that you need it I'm too far gone You're trying to blame me But I'm not breaking I'm telling you, I'm bulletproof (Bulletproof) Believe me, I'm bulletproof (Bulletproof) You make me so bulletproof (Bulletproof) And now I'm too far gone You're addicted and so twisted That it's freaking me out Distant eyes, it's no surprise You can't do anything now I need a way to separate But I'm telling you that nothing will ever be the same Now that you want it Now that you need it I'm too far gone You're trying to blame me But I'm not breaking I'm telling you, I'm bulletproof (Bulletproof) Believe me, I'm bulletproof (Bulletproof) You make me so bulletproof (Bulletproof) And now I'm too far gone (Now that you want it) (Now that you need it) I'm too far gone You're trying to blame me But I'm not breaking I'm telling you, I'm bulletproof (Bulletproof) Believe me, I'm bulletproof (Bulletproof) You make me so bulletproof (Bulletproof) And now I'm too far gone I'm telling you, I'm bulletproof (Bulletproof) Believe me, I'm bulletproof (Bulletproof) You make me so bulletproof (Bulletproof) And now I'm too far gone
Bump n' Grind	R. Kelly	1	My mind is telling me no But my body, my body's telling me yes Baby, I don't want to hurt nobody But there is something that I must confess to you (woo) I don't see nothing wrong with a little bump and grind With a little bump and grind I don't see nothing wrong, baby, hey I don't see nothing wrong with a little bump and grind I don't see nothing wrong with a little bump and grind I don't see nothing wrong, hey, woah, let me hear you See I know just what you want And I know just what you need, girl So baby, bring your body to me (bring your body here) I'm not fooling around with you, huh Baby, my love is true (with you) With you is where I want to be Girl you need someone Someone like me, yeah To satisfy your every need I don't see nothing wrong with a little bump and grind I don't see nothing wrong with a little bump and grind I don't see nothing wrong, baby, baby, I don't see, woo I don't see nothing wrong with a little bump and grind I don't see nothing wrong with a little bump and grind I don't see nothing wrong, baby, hey, huh You say he's not treating you right Then, lady, spend the night I'll love you like you need to be love Girl, won't you try some of me No need to look no more Because I've opened up my doors You'll never feel another love you see You'll never wanna another love You'll never find another me You need someone, someone like me, yeah To make love to you, baby, constantly I don't see nothing wrong with a little bump and grind Hey, nothing wrong with a little bump and grind I don't see nothing wrong, oh, woah I don't see nothing wrong with a little bump and grind I don't see nothing wrong with a little bump and grind I don't see nothing wrong, baby, baby, alright
Burn	Usher	1	Girl, I understand why See, it's burnin' me to hold on to this I know this is somethin' I gotta do But that don't mean I want to What I'm tryna say is that, I... love you, I just... I feel like this... is comin' to an end And it's better for me to... let it go now Than hold on and hurt you But I gotta let it burn It's gon' burn for me to say this, but it's coming from my heart It's been a long time coming, but we done been fell apart Really wanna work this out, but I don't think you're gonna change I do, but you don't, think it's best we go our separate ways Tell me why I should stay in this relationship When I'm hurtin', baby, I ain't happy, baby Plus there's so many other things I gotta deal with I think that you should let it burn When your feeling ain't the same and your body don't want to But you know, gotta let it go 'cause the party ain't Jumpin' like it used to, even though this might bruise you (No, no) Let it burn, let it burn, gotta let it burn Deep down, you know it's best for yourself, but you Hate the thought of her bein' with someone else But you know that it's over, we knew it was through Let it burn (Let it burn), let it burn (Let it burn), gotta let it burn Sendin' pages I ain't supposed to Got somebody here, but I want you 'Cause the feelin' ain't the same Find myself callin' her your name Ladies, tell me, do you understand? Now, all my fellas, do you feel my pain? It's the way I feel I know I made a mistake, now it's too late I know she ain't coming back What I gotta do now to get my shorty back? Ooh, ooh, ooh, ooh Man, I don't know what I'm gonna do without my boo You've been gone for too long It's been fifty-leven days, umpteen hours I'ma be burnin' 'til you return (Let it burn) When your feeling ain't the same and your body don't want to But you know, gotta let it go 'cause the party ain't Jumpin' like it used to, even though this might bruise you Let it burn (Let it burn, let it burn, you gon' learn) Let it burn (Gotta let it burn, oh), gotta let it burn Deep down, you know it's best for yourself, but you Hate the thought of her bein' with someone else But you know that it's over (Know it's over), we knew it was through Let it burn, let it burn, gotta let it burn I'm twisted 'cause one side of me is tellin' me that I need to move on On the other side, I wanna break down and cry, ooh I'm twisted 'cause one side of me is tellin' me that I need to move on On the other side, I wanna break down and cry, yeah Ooh, ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh (Can you feel me burning?) Ooh, ooh, ooh, ooh, ooh, ooh So many days, so many hours I'm still burnin' 'til you return (Let it burn) When your feeling ain't the same and your body don't want to But you know, gotta let it go 'cause the party ain't Jumpin' like it used to, even though this might bruise you Let it burn (Let it burn, let it burn), let it burn, gotta let it burn Deep down, you know it's best for yourself, but you Hate the thought of her bein' with someone else But you know that it's over, we knew it was through Let it burn (Let it burn, let it burn, let it burn) Let it burn, gotta let it burn
Burn It Down	Linkin Park	0	The cycle repeated As explosions broke in the sky All that I needed Was the one thing I couldn't find And you were there at the turn Waiting to let me know We're building it up to break it back down We're building it up to burn it down We can't wait to burn it to the ground The colors conflicted As the flames climbed into the clouds I wanted to fix this But couldn't stop from tearing it down And you were there at the turn Caught in the burning glow And I was there at the turn Waiting to let you know We're building it up to break it back down We're building it up to burn it down We can't wait to burn it to the ground You told me yes, you held me high And I believed when you told that lie I played soldier, you played king And struck me down when I kissed that ring You lost that right to hold that crown I built you up but you let me down So when you fall, I'll take my turn And fan the flames as your blazes burn And you were there at the turn Waiting to let me know We're building it up to break it back down We're building it up to burn it down We can't wait to burn it to the ground When you fall, I'll take my turn And fan the flames as your blazes burn We can't wait to burn it to the ground When you fall, I'll take my turn And fan the flames as your blazes burn We can't wait to burn it to the ground
Burnin' It Down	Jason Aldean	0	You slip your finger through the tear in my t-shirt You stirrin' up dirty in the back of my mind You keep on flirtin', 'cause you know that it's workin' You stuck in my head girl writing the lines Couldn't sing this song without you if I tried Let's light it up like it's our last night We're just hanging around Burnin' it down Sippin' on some cold Jack Daniel's Jammin' to some old Alabama with you baby Laying right here naked in my bed I'm just doing my thing You love it when I sing Say it makes you feel like an angel We about to get a little tangled up right about now So girl let's keep burnin' it down Burnin' it down, burnin' it down Girl when you want it You know that I'm on it You know that I love lovin' up on you Let's hit the switch and let our shadows dance And light it up like it's our last chance We're just hanging around Burnin' it down Sippin' on some cold Jack Daniel's Jammin' to some old Alabama with you baby Laying right here dreamin' in my bed I'm just doing my thing You love it when I sing Say it makes you feel like an angel We about to get a little tangled up right about now So girl let's keep burnin' it down Burnin' it down, burnin' it down, burnin' it down Burnin' it down, burnin' it down, burnin' it down I wanna rock it all night Baby girl will you rock it out with me (with me) I wanna crawl through the dark Just to feel your heartbeat against me (against me) I wanna rock it all night Baby girl will you rock it out with me (with me) I wanna crawl through the dark Just to feel your heartbeat against me  (against me) We're just hanging around Burnin' it down Sippin' on some cold Jack Daniel's Jammin' to some old Alabama with you baby Laying right here naked in my bed I'm just doing my thing You love it when I sing Say it makes you feel like an angel We about to get a little tangled up right about now So girl let's keep burnin' it down Burnin' it down, burnin' it down, burnin' it down Burnin' it down, burnin' it down, burnin' it down I wanna rock it all night Baby girl will you rock it out with me (with me) I wanna crawl through the dark Just to feel your heartbeat against me
By the Way	Red Hot Chili Peppers	0	Standing in line to see the show tonight And there's a light on, heavy glow By the way, I tried to say I'd be there waiting for Dani, the girl, is singing songs to me Beneath the marquee, overload Steak knife, card shark Con job, boot cut Skin that flick, she's such a little DJ Get there quick by street but not the freeway Turn that trick to make a little leeway Beat that nic, but not the way that we play Dogtown, blood bath Rib cage, soft tail Standing in line to see the show tonight And there's a light on, heavy glow By the way, I tried to say I'd be there waiting for Black jack, dope dick Pawn shop, quick pick Kiss that dyke, I know you want to hold one Not on strike but I'm about to bowl one Bite that mic, I know you never stole one Girls that like a story, so I told one Song bird, main line Cash back, hard top Standing in line to see the show tonight And there's a light on, heavy glow By the way, I tried to say I'd be there waiting for Dani, the girl, is singing songs to me Beneath the marquee, oversold By the way, I tried to say I'd be there waiting for Ooh, ah, guess you never meant it Ooh, ah, guess you never meant it Ooh, ah, guess you never meant it Ooh, ah, guess you never meant it Ooh, ah, guess you never meant it Ooh, ah, guess you never meant it Ooh, ah, guess you never meant it Ooh, ah Standing in line to see the show tonight And there's a light on, heavy glow By the way, I tried to say I'd be there waiting for Dani, the girl, is singing songs to me Beneath the marquee, oversold By the way, I tried to say I know you from before Standing in line to see the show tonight And there's a light on, heavy glow By the way, I tried to say I'd be there waiting for
Bye, Bye	Jo Dee Messina	0	Boy, you sure look good there standin' in the doorway in the sunset light Maybe I read you wrong thinkin' you could be my ""Mr. Right"" I was puttin' my heart and soul on the line Said you needed some time, just a little more time to make up your mind Well, it's been long enough Time is up Bye-bye, love, I'll catch you later Got a lead foot down on my accelerator and the rear view mirror torn off 'Cause I ain't never lookin' back, and that's a fact I've tried all I can imagine I've begged and pleaded in true lover's fashion I've got pride, I'm takin' it for a ride Bye-bye, bye-bye, my baby, bye-bye Don't think all those tears are gonna hold me here like they've done before You'll find what's left of us in a cloud of dust on Highway 4 Baby, what did you expect me to do? Just sit around and wait on you? Well, I'm through watchin' you just skate around the truth And I know it sounds trite I've seen the light Bye-bye, love, I'll catch you later Got a lead foot down on my accelerator and the rear view mirror torn off 'Cause I ain't never lookin' back, and that's a fact I've tried all I can imagine I've begged and pleaded in true lover's fashion I've got pride, I'm takin' it for a ride Bye-bye, bye-bye, my baby, bye-bye I've lost the game, I guess I did my best to win the part Now I'm leavin' here with what's left of my heart Bye-bye, I'll catch you later Got a lead foot down on my accelerator and the rear view mirror torn off 'Cause I ain't never lookin' back You can count on that I've tried all I can imagine I've begged and pleaded in true lover's fashion I've got pride, I'm takin' it for a ride Bye-bye, bye-bye, my baby, bye, bye-bye Bye-bye Ooh, baby Ohhh Bye-bye, bye-bye, my baby, bye-bye
Californication	Red Hot Chili Peppers	0	Psychic spies from China try to steal your mind's elation And little girls from Sweden dream of silver-screen quotation And if you want these kind of dreams, it's Californication It's the edge of the world and all of Western civilization The sun may rise in the East, at least it settled in a final location It's understood that Hollywood sells Californication Pay your surgeon very well to break the spell of aging Celebrity skin: is this your chin or is that war you're waging? First born unicorn Hardcore soft porn Dream of Californication Dream of Californication Dream of Californication Dream of Californication Marry me, girl, be my fairy to the world, be my very own constellation A teenage bride with a baby inside getting high on information And buy me a star on the boulevard, it's Californication Space may be the final frontier but it's made in a Hollywood basement And Cobain, can you hear the spheres singing songs off Station to Station? And Alderaan's not far away, it's Californication Born and raised by those who praise control of population Well, everybody's been there, and I don't mean on vacation First born unicorn Hardcore soft porn Dream of Californication Dream of Californication Dream of Californication Dream of Californication Destruction leads to a very rough road but it also breeds creation And earthquakes are to a girl's guitar, they're just another good vibration And tidal waves couldn't save the world from Californication Pay your surgeon very well to break the spell of aging Sicker than the rest, there is no test, but this is what you're craving First born unicorn Hardcore soft porn Dream of Californication Dream of Californication Dream of Californication Dream of Californication
Can't Be Friends	Trey Songz	1	Look what this girl done did to me She done cut me off from a good, good love She told me that those days were gone (gone, gone, gone) Now I'm sitting here going half crazy (oh, oh) 'Cause I know she still thinks about me too (oh, oh) And it ain't no way in hell That I can be just friends with you (you, you, you) And I wish we never did it And I wish we never loved it And I wish I never fell so deep in love with you And now it ain't no way we can be friends, right The way it felt no faking it Maybe we were moving just a little too fast But what we've done, we can't take it back (back, back, back) Now I'm sitting here halfway crazy (oh, oh) 'Cause I know she still thinks about me too (oh, oh) And it ain't no way in hell That I can be just friends with you (you, you, you) And I wish we never did it And I wish we never loved it And I wish I never fell so deep in love with you And now it ain't no way we can be friends And all I can say is La-la-la la la la la Laahaahaa La-la-la la la la la la la La la la la-ooh La-la-la la la la laah, hey Ain't no telling what we could have been Ain't no telling what we could have been, no And if I knew it'd ends like this I never would have kissed you 'cause I fell in love with you We never would have kicked it Girl, now everything's different I've lost my homie, lover and my friend That's why I wish we never did it, woo (oh yea) Ooh yeah and I wish we never loved it (I wish we never loved it) And I wish I never fell so deep in love with you And now it ain't no way we can be friends (friends) We can't be friends La-la-la la la la la La-la-la la la la la la la La-la-la la la la laah Ain't no telling what we could have been
Can't Break It to My Heart	Tracy Lawrence	0	I never felt as helpless as I do today My world just fell around me as I watched you drive away There's nothin' left between us, somehow we've grown apart 'Cause I've got through my head, I just can't break it to my heart I can't believe this is me on the hurtin' side of pain Siftin' through the ashes, still tryin' to find a flame But the flame has turned to embers, left glowin' in the dark I've got it through my head, I just can't break it to my heart If I could, Lord knows I would spin back the hands of time And piece these scattered memories that are cluttered in my mind Pick up where we left off and make a brand new start 'Cause I've got it through my head, I just can't break it to my heart I can't believe this is me on the hurtin' side of pain Siftin' through the ashes, still tryin' to find a flame But the flame has turned to embers, left glowin' in the dark I've got it through my head, I just can't break it to my heart
Can't Get Over You	Maze	1	I know I brought it on myself I owe no blame to no one else And now I realize I can't get over you And though I've tried to do my very best I just can't find happiness And it's all because I can't get over you Hey, Baby, why, oh why Thinking of you makes me cry No Matter how I try I'm gonna love you by and by By and by, Baby Ooh Ooh I don't know what to do I Can't get over you, you Baby I guess you'll always have a part Somewhere deep in my heart It's just to hard to hide I can't get over you I've tried to lose myself in song But the ties are much to strong What I'm I gonna do I can't get over you It makes feel so bad Messing up the love we had There's one thing I know I will always love you so Love you so Ooh, Ooh Baby, Baby, Baby I can't get over you (can't get over you) I can't get over you (Ooh yeah, yeah, yeah) (Hey, hey, now, now) I can't get over you Can't you see, Girl? Can't you see what you mean to me? (no, no) (Hey, oh, Baby) I wanna [?] to do about you, Girl I can't get over you
Can't Stop	After 7	1	Last night, I had the time of my life It's true Oh, last night, I made love for the very first time With you I never knew love could be so sweet, mmm It never made a difference to me, mmm, well well But ever since the day that you appeared I'm telling you made the difference Now love is so clear And I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me We're diggin' on we And no, I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me Last night, you brought something special out of me Ooh-wee And for the first time, girl You made my dream a reality Indeed I never thought love was meant for me, mmm I was blind and could not see, mmm, well well You brought about a love that's so sincere And I'm telling you, you've made the difference Now love is so clear And I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me We're diggin' on we And I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me Ooh-wee, girl I can't stop I'm diggin' on you You're diggin' on me We're diggin' on we, girl I can't stop I'm diggin' on you You're diggin' on me You've got me thinking that I need protection 'Cause your love is so strong I don't wanna do wrong Girl, your love seems like it's true I'm asking you just give me a call And I'll give you my all Can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me We're diggin' on we, girl Can't stop (I can't stop) I can't stop how I feel I'm diggin' on you You're diggin' on me You know I can't stop (I can't stop) How I feel I'm diggin' on you You're diggin' on me We're diggin' on we, girl You know I can't stop (I can't Stop) How I feel I'm diggin' on you You're diggin' on me Can't stop (I can't stop) I'm diggin' on you You're diggin' on me We're diggin' on we, girl Can't stop (I can't stop) I'm diggin' on you You're diggin' on me Can't stop (I can't stop)
Can I Trust You with My Heart	Travis Tritt	0	When you meet that certain someone you've been searching hard to find It's a new love full of passion that can sometimes make you blind I don't mind being swept away if I know right from the start So before we go much further girl, can I trust you with my heart In the time we've spent together, I have learned to trust in you So many things you've given before I even asked you to But reality and romance are sometimes far apart So what I really need to know is, can I trust you with my heart Can I cast my cares upon you, can you stand the heavy load Can I count on you to walk me down that long and winding road If you promise me these simple things, I can guarantee You can always count on me girl, oh Can I cast my cares upon you, can you stand the heavy load Can I count on you to walk me down that long and winding road When two hearts solely surrender, and are sworn to understand It completes a perfect union between a woman and a man So please don't misunderstand me, I don't want to go too far Without knowing just one answer, can I trust you with my heart Please girl Give me just one answer Can I trust you with my heart
Can We Talk	Tevin Campbell	1	Last night I, I saw you standing And I started, started pretending That I knew you, and you knew me, too And just like a Roni, you were too shy But you weren't the only 'cause so was I And I dreamed of you ever since Now I build up my confidence Girl, next, next time you come my way I'll know just what to say Can we talk for a minute? Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name I started to write you letters But I wanted to be more clever I wanted to get down and sweet talk you Hey, baby But just like a baby, I could not talk And I tried to come closer, but could not walk And I think of it every night How I just could not get it right, oh If we ever come close again I'll know what I'll say then, yeah Can we talk for a minute? Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name Oh, girl One more chance with you again I will not let it go! Oh, please give me just one more chance for love, love, love, love Can we talk for a minute? Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name Can we talk? I wanna talk to my baby Come on and talk to me, baby Girl, I want to know your name Can we talk for a minute? Girl, I want to know your name Can we talk? Come on and talk to me, baby See, I wanna know You better tell me your name, baby Can we talk for a minute? I wanna know, I wanna know I want to know your name Can we talk for a minute?
Can You Stand the Rain	New Edition	1	Ooh, ooh, ooh, ooh, ooh, yeah, yeah, yeah Ooh, ooh, ooh, ooh Whoa, whoa, oh-oh On a perfect day, I know that I can count on you When that's not possible Tell me can you weather the storm? 'Cause I need somebody who will stand by me Through the good times and bad times She will always, always be right there Sunny days, everybody loves them Tell me, baby, can you stand the rain? Storms will come This we know for sure (This we know for sure) Can you stand the rain? Love unconditional, I'm not asking just of you And girl to make it last I'll do whatever needs to be done But I need somebody (Oh) Who will stand by me (Yeah, yeah) When it's tough, she won't run She will always, be right there for me, hee Sunny days, everybody loves them, tell me, baby Can you stand the rain? (Can you stand it?) Storms will come (I know, I know all the days won't be perfect) This we know for sure (But tell me can you stand it) Can you stand the rain? (Can you stand the rain?) Can you stand the rain (Can you stand the rain?) Can you stand the rain (No pressure, no pressure from me, baby) This we know for sure Can you stand the rain ('Cause I want you, and I need you, and I love you, girl) (Tell me, baby) Can you stand the rain (Will you be there for me?) Come on, baby, let's go get wet Can you stand the rain (Can you stand the rain?) Can you stand the rain (Will you be there, girl?) Can you stand the rain (Storms will come for sure) Can you stand the rain (Can you stand the rain?) Can you stand the rain (This we know for sure) Can you stand the rain Can you stand the rain (This we know for sure) Can you stand the rain Can you stand the rain (This we know for sure) Can you stand the rain Can you stand the rain Yeah, it's gonna—but I know, I know I'll be right there (Can you stand the rain?) Yeah, yeah, yeah, yeah-yeah-yeah
Candy Rain	Soul for Real	1	My love, do you ever dream of Candy coated raindrops? You're the same, my candy rain Have you ever loved someone So much you thought you'd die? Giving so much of yourself It seems the only way Tell me what you want and I And I will give it to you Cause you are My love, do you ever dream of Candy coated raindrops? You're the same, my candy rain My love, did you ever dream That it could be so right? I never thought that I would find All that I need in life All I want, all I need now, I know I know I found it in you, I found it in you Cause you are My love, do you ever dream of Candy coated raindrops? You're the same, my candy rain My love, do you ever dream of Candy coated raindrops? You're the same, my candy rain My love, do you ever dream of Candy coated raindrops? You're the same, my candy rain Candy coated raindrops Candy coated raindrops My love, do you ever dream of Candy coated raindrops? You're the same, my candy rain My love, do you ever dream of Candy coated raindrops?
